model_id,timing_mode,checkpoint_id,outcome_id,n_density_forecasts,mean_log_score,mean_crps,coverage_68,coverage_90,mean_predictive_sd,pit_mean,pit_std,brier_below_zero
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,-4.88618713972737,1.783047484214802,0.5625,0.7875,1.8019741967672218,0.4324216117716871,0.3140806720119765,0.08080657215139828
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,-0.8967640230134009,0.3304523516159238,0.759493670886076,0.8987341772151899,0.6226629806135651,0.52058375844082,0.2732603572387849,0.017262134432638587
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,-0.4419325081542194,0.1871476035515855,0.8625,0.9375,0.38328732273611443,0.556088839232606,0.23537097764851603,0.0017501220030998704
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,-4.9450802379114505,1.7900747745275933,0.5625,0.7875,1.8019548722202727,0.43204169087225025,0.3137141897442755,0.08079084399682801
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,-0.896252056883452,0.3302184168811656,0.759493670886076,0.8987341772151899,0.6226962169458705,0.5205649029658581,0.27304360362713204,0.01726152047931541
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,-0.44180520074941176,0.18710084315665076,0.8625,0.9375,0.3832796063788649,0.5560964798205885,0.235313894400062,0.00174986985813102
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,-6.312632127492753,1.776042663607266,0.625,0.75,1.5734597219901634,0.4499334509274807,0.32351809139294885,0.07556462930222978
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,-0.9970577170327717,0.35238847488930436,0.6582278481012658,0.8734177215189873,0.5789341617026884,0.49186022112876193,0.2879343005319754,0.017009003890748144
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,-0.4378803173402158,0.18841080920285033,0.825,0.925,0.37590241777243266,0.5507122925921564,0.2410700854982633,0.002400155668596613
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,-6.456758285002063,1.7878287482580497,0.625,0.7625,1.5734797019199838,0.449283091717726,0.32316789640416205,0.07707880510187867
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,-0.9943637511094433,0.35148101493638284,0.6582278481012658,0.8734177215189873,0.5790138722310741,0.49190165576373085,0.28746423880413524,0.017011625610693814
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,-0.4382781185410337,0.18850239738583216,0.825,0.925,0.3759040328073837,0.5506395760583279,0.24128173853017018,0.002399698567052623
midas_umidas,exact,pre_advance,A,68,-4.114163400322907,6.280939763569838,0.8382352941176471,0.9558823529411765,12.234077447846687,0.5432100710462167,0.2234132302619498,0.2872033710612185
midas_umidas,exact,pre_second,S,67,-4.155173103463849,2.1013279936850027,0.835820895522388,0.8955223880597015,3.3985247481452814,0.4659498522067029,0.23209304978589979,0.12450338155853896
midas_umidas,exact,pre_third,T,68,-4.18682413026999,2.490610900048014,0.7794117647058824,0.8823529411764706,3.6090164964929303,0.47901397805431273,0.2461789806770835,0.11036220954631133
midas_umidas,pseudo,pre_advance,A,68,-4.134603835125136,6.366150371362198,0.8382352941176471,0.9558823529411765,12.371873173317013,0.5467272659012361,0.22315067671717503,0.28695216439397164
midas_umidas,pseudo,pre_second,S,67,-4.1515896794530365,2.091423793869083,0.835820895522388,0.8955223880597015,3.391537659691085,0.47100887644307515,0.2313472437025778,0.12491495674191024
midas_umidas,pseudo,pre_third,T,68,-4.194349403565174,2.490297750862133,0.7794117647058824,0.8823529411764706,3.5978499047023726,0.4752100080701313,0.24789428112634695,0.10900230281387176
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,-4.059126750140915,1.6417019290984007,0.6375,0.8375,1.7634902900299607,0.48034121117869033,0.3126744785843669,0.08774463718520827
monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,-1.1251222479927228,0.34630760770165747,0.7721518987341772,0.8607594936708861,0.586115354569636,0.4770854340840413,0.2647768897252426,0.021258318542632246
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,-0.4678624452463156,0.19273503612216333,0.7625,0.9125,0.3696533612967493,0.5072703740064373,0.25670849860740713,0.0032904479449876547
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,-4.11428669607403,1.6485108668634172,0.6375,0.8375,1.7636289151006614,0.4809624487564325,0.31217172615733535,0.08774988161831096
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,-0.9793522215709087,0.3322302056239888,0.7721518987341772,0.8607594936708861,0.5863531301616369,0.47951891838084487,0.26471690056382763,0.021051653906537654
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,-0.4621028044431096,0.19098907847399954,0.7625,0.9125,0.36986234465376516,0.5081407309396411,0.25451943376736375,0.0032801402999390423
no_revision,exact,pre_advance,A,68,-5.621629024037393,2.498832258140138,0.8235294117647058,0.9264705882352942,3.4053886205414123,0.47426686279139885,0.23631312360484635,0.12606021571325418
no_revision,exact,pre_second,S,67,-0.8833654489401548,0.30017969128674454,0.8656716417910447,0.9402985074626866,0.6909088366845302,0.5287086682538995,0.21701794463594232,0.02001927583710453
no_revision,exact,pre_third,T,68,-0.6434394422912957,0.19779460641107566,0.75,0.8676470588235294,0.3451171026974938,0.5650106820148996,0.2678297681196772,0.0015553346235912596
no_revision,pseudo,pre_advance,A,68,-5.621629024037393,2.498832258140138,0.8235294117647058,0.9264705882352942,3.4053886205414123,0.47426686279139885,0.23631312360484635,0.12606021571325418
no_revision,pseudo,pre_second,S,67,-0.8833654489401548,0.30017969128674454,0.8656716417910447,0.9402985074626866,0.6909088366845302,0.5287086682538995,0.21701794463594232,0.02001927583710453
no_revision,pseudo,pre_third,T,68,-0.6434394422912957,0.19779460641107566,0.75,0.8676470588235294,0.3451171026974938,0.5650106820148996,0.2678297681196772,0.0015553346235912596
release_dfm,exact,pre_advance,A,68,-3.363809186586731,1.3878794011389983,0.6617647058823529,0.8823529411764706,1.849690581618081,0.4199769636461422,0.2775362854972026,0.06827861346128197
release_dfm,exact,pre_second,S,67,-1.1040885183404283,0.3727649197708306,0.8208955223880597,0.9253731343283582,0.7557438300956727,0.46602059358120107,0.24270841724172454,0.016942096884347255
release_dfm,exact,pre_third,T,68,-0.8966000723680374,0.26206253451307104,0.7647058823529411,0.8823529411764706,0.4790227860295322,0.5034826637649672,0.2645914617819772,0.004015547592367671
release_dfm,pseudo,pre_advance,A,68,-3.3646031320269096,1.3788026854162119,0.6764705882352942,0.8676470588235294,1.8460628706009967,0.41702118076536837,0.2758828488214895,0.06688150999038245
release_dfm,pseudo,pre_second,S,67,-1.103795218434738,0.3725241940225081,0.8208955223880597,0.9253731343283582,0.7558011320508812,0.4661825364715774,0.24254827350839947,0.016937542040877676
release_dfm,pseudo,pre_third,T,68,-0.8992605960689183,0.26200666313962523,0.7647058823529411,0.8823529411764706,0.47840093101025927,0.5033210963986745,0.2647163086483368,0.0040139893282937645
revision_dfm_kalman_em,exact,pre_advance,A,80,-4.541029003874516,1.563054063998307,0.6375,0.775,1.6543850334342984,0.4364708307522843,0.30934645913421327,0.05514409141639971
revision_dfm_kalman_em,exact,pre_second,S,79,-0.9566181442603126,0.33745726220538164,0.7468354430379747,0.8987341772151899,0.5956268486644564,0.4885599955173191,0.27812298051284307,0.016841678158531034
revision_dfm_kalman_em,exact,pre_third,T,80,-0.44202840059061765,0.1886908884659923,0.8375,0.9375,0.3761283731202707,0.5507624595799596,0.24326857799668322,0.002059656624421458
revision_dfm_kalman_em,pseudo,pre_advance,A,80,-4.562829984136476,1.5646630801562975,0.6375,0.775,1.6542988540357313,0.4360565536040123,0.3091267996414457,0.055052413600973626
revision_dfm_kalman_em,pseudo,pre_second,S,79,-0.9548265565222572,0.3368475539326487,0.7468354430379747,0.8987341772151899,0.5956832943672975,0.4893191532840434,0.27789981047907025,0.016856606505563487
revision_dfm_kalman_em,pseudo,pre_third,T,80,-0.4423129784943283,0.18878016318354165,0.8375,0.9375,0.37613030417938564,0.5505953078031753,0.24343675807672222,0.0020575059647485647
spf,exact,pre_advance,A,68,-2.715142527984721,1.0658963816333749,0.6617647058823529,0.8970588235294118,1.4736125611471482,0.4745411018328389,0.2921490268076785,0.07273427762761686
spf,exact,pre_second,S,67,-2.62058440302097,1.1637858349463817,0.7164179104477612,0.8805970149253731,1.7399905111050764,0.4945790761225428,0.2775750955246776,0.08767628815524232
spf,exact,pre_third,T,68,-2.623656746574655,1.1831360355905869,0.7352941176470589,0.8823529411764706,1.7669643489442157,0.5067297411242295,0.27991675454189036,0.08626084101854344
spf,pseudo,pre_advance,A,68,-2.715142527984721,1.0658963816333749,0.6617647058823529,0.8970588235294118,1.4736125611471482,0.4745411018328389,0.2921490268076785,0.07273427762761686
spf,pseudo,pre_second,S,67,-2.62058440302097,1.1637858349463817,0.7164179104477612,0.8805970149253731,1.7399905111050764,0.4945790761225428,0.2775750955246776,0.08767628815524232
spf,pseudo,pre_third,T,68,-2.623656746574655,1.1831360355905869,0.7352941176470589,0.8823529411764706,1.7669643489442157,0.5067297411242295,0.27991675454189036,0.08626084101854344
standard_dfm,exact,pre_advance,A,68,-3.363809186586731,1.3878794011389983,0.6617647058823529,0.8823529411764706,1.849690581618081,0.4199769636461422,0.2775362854972026,0.06827861346128197
standard_dfm,exact,pre_second,S,67,-2.93779301256434,1.376744262572007,0.6865671641791045,0.8955223880597015,1.9129641220563685,0.41860466046376693,0.2763497716489334,0.07500336250450322
standard_dfm,exact,pre_third,T,68,-2.8787397388832505,1.3908493315579786,0.7205882352941176,0.8823529411764706,1.9901676916181246,0.426177699442367,0.2759762079253471,0.07697052127923926
standard_dfm,pseudo,pre_advance,A,68,-3.3646031320269096,1.3788026854162119,0.6764705882352942,0.8676470588235294,1.8460628706009967,0.41702118076536837,0.2758828488214895,0.06688150999038245
standard_dfm,pseudo,pre_second,S,67,-2.933450411619497,1.369016158349128,0.6865671641791045,0.8805970149253731,1.9057665202441278,0.4185800668031251,0.2758525838906245,0.07497718701235079
standard_dfm,pseudo,pre_third,T,68,-2.8815930106431877,1.388538419717297,0.7352941176470589,0.8970588235294118,1.9851203774510988,0.4250056960964287,0.27568303846922304,0.07643712028848003
