model_id,timing_mode,checkpoint_id,n_matrices,share_psd,max_asymmetry,min_eigenvalue_min,min_eigenvalue_median,max_eigenvalue_median
indicator_revision_only_dfm_kalman_em,exact,pre_advance,78,1.0,0.0,0.0635407517152324,0.0671126880027072,14.77914522599205
indicator_revision_only_dfm_kalman_em,exact,pre_second,78,1.0,0.0,0.0610701444641804,0.0645095762210311,4.926566501795657
indicator_revision_only_dfm_kalman_em,exact,pre_third,78,1.0,0.0,0.0261352460040534,0.0428911123157672,4.460147408469852
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,78,1.0,0.0,0.0634971283722435,0.06706670806692736,14.789265496583564
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,78,1.0,0.0,0.0609842022568545,0.0645266147351859,4.926566501795657
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,78,1.0,0.0,0.0261352199750556,0.0428905700493188,4.46014746316127
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,78,1.0,8.881784197001252e-16,0.0611239233539665,0.06481471142025305,13.983584224946318
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,78,1.0,1.1102230246251563e-16,0.060933266254839,0.0645372105608686,4.926402795939698
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,78,1.0,5.551115123125783e-17,0.0289050840303389,0.047638136875744,4.483097198831757
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,78,1.0,8.881784197001252e-16,0.0610687051572612,0.06487172439607905,13.969149107056476
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,78,1.0,1.1102230246251563e-16,0.0609312875820096,0.0645527313155558,4.926402795939698
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,78,1.0,5.551115123125783e-17,0.0289050359117097,0.04751571042831515,4.483097368006527
monthly_mixed_frequency_kalman_em,exact,pre_advance,78,1.0,0.0,0.0604256008828082,0.06389026788942355,17.74448074914247
monthly_mixed_frequency_kalman_em,exact,pre_second,78,1.0,0.0,0.0575699099330583,0.0626229151561903,5.3699887928878995
monthly_mixed_frequency_kalman_em,exact,pre_third,78,1.0,0.0,0.057308107523174,0.06225385533577815,4.816013591737615
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,78,1.0,0.0,0.060425814592539,0.06397313367204455,17.7252384401003
monthly_mixed_frequency_kalman_em,pseudo,pre_second,78,1.0,0.0,0.057570018449925,0.06267629770577955,5.3700678113206415
monthly_mixed_frequency_kalman_em,pseudo,pre_third,78,1.0,0.0,0.0573403499151624,0.062021347538993646,4.815990652406407
revision_dfm_kalman_em,exact,pre_advance,78,1.0,1.7763568394002505e-15,0.0626336260948221,0.06605252403586355,16.758402430100734
revision_dfm_kalman_em,exact,pre_second,78,1.0,1.1102230246251563e-16,0.0623035982985265,0.0656786846271191,4.930490534558793
revision_dfm_kalman_em,exact,pre_third,78,1.0,2.7755575615628914e-17,0.0406444438425132,0.051932708989758505,4.479335568557694
revision_dfm_kalman_em,pseudo,pre_advance,78,1.0,1.7763568394002505e-15,0.0625675423624679,0.0660525261763646,16.757082735280594
revision_dfm_kalman_em,pseudo,pre_second,78,1.0,1.1102230246251563e-16,0.0623036405706429,0.0656786441340019,4.930490534558793
revision_dfm_kalman_em,pseudo,pre_third,78,1.0,5.551115123125783e-17,0.0406443392164166,0.0519327565841622,4.479335782247693
