model_id,timing_mode,checkpoint_id,outcome_id,revision_size_bin,n_obs,RMSE,MAE,bias
bridge,exact,pre_advance,DELTA_SA,abs_gt_0p5,20,1.010337939290839,0.8640108887069825,-0.09704390235219697
bridge,exact,pre_second,DELTA_TS,abs_le_0p1,28,0.40615189641580896,0.313122960916457,0.02533079580774191
bridge,exact,pre_second,DELTA_TS,abs_0p1_0p2,13,0.32351689667029604,0.24989807692696944,0.07934310939725939
bridge,exact,pre_second,DELTA_TS,abs_0p2_0p5,31,0.4224747638951588,0.3276589766960174,-0.05020623331484366
bridge,exact,pre_second,DELTA_TS,abs_gt_0p5,7,1.0409891681705103,0.8850024134993361,0.19111243709695067
bridge,exact,pre_third,DELTA_MT,abs_le_0p1,5,1.101348500307445,0.7199211236995312,0.29110299027227365
bridge,exact,pre_third,DELTA_MT,abs_0p1_0p2,7,0.7646992143312334,0.6113923304334811,-0.30645640095501026
bridge,exact,pre_third,DELTA_MT,abs_0p2_0p5,8,2.447716763928275,1.8172992337425626,-0.5953102051494135
bridge,exact,pre_third,DELTA_MT,abs_gt_0p5,60,2.048590987138262,1.6182307835500649,-0.02757463323793375
bridge,pseudo,pre_advance,DELTA_SA,abs_le_0p1,18,0.582984018728417,0.30285750661121047,0.239533905250084
bridge,pseudo,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.4089546856582917,0.3561438790816704,-0.08796658404417725
bridge,pseudo,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.6447213634528753,0.4234915908406721,-0.046227487138405035
bridge,pseudo,pre_advance,DELTA_SA,abs_gt_0p5,20,1.0067709887892635,0.8620580971439136,-0.09540688349784146
bridge,pseudo,pre_second,DELTA_TS,abs_le_0p1,28,0.4059334099266194,0.31351595963952283,0.025878638960036345
bridge,pseudo,pre_second,DELTA_TS,abs_0p1_0p2,13,0.32449284574942855,0.24982109888089313,0.07899612393122314
bridge,pseudo,pre_second,DELTA_TS,abs_0p2_0p5,31,0.42467966164158133,0.3261214342918938,-0.0490676940946184
bridge,pseudo,pre_second,DELTA_TS,abs_gt_0p5,7,1.040339842463922,0.8840739022115341,0.18346561064037198
bridge,pseudo,pre_third,DELTA_MT,abs_le_0p1,5,1.1012984742303669,0.7185999642714689,0.2896991568661728
bridge,pseudo,pre_third,DELTA_MT,abs_0p1_0p2,7,0.758534598532575,0.6092207248415757,-0.30285840848831713
bridge,pseudo,pre_third,DELTA_MT,abs_0p2_0p5,8,2.453698757697619,1.8224222837226745,-0.6002187193529109
bridge,pseudo,pre_third,DELTA_MT,abs_gt_0p5,60,2.044251480690589,1.6116108408698036,-0.023057532826141463
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,abs_le_0p1,18,0.05790484531635591,0.04414444444444435,-0.016966666666666748
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.14607059556559937,0.14218888888888892,-0.006455555555555548
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.3458252936816507,0.33426874999999995,-0.1111625
