coverage_item,value
source_dir,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/exact_pseudo_backtest_mature_latest_max_iter50
point_forecast_rows,5258
revision_forecast_rows,5236
failure_rows,0
calendar_rows,960
calendar_status::derived_from_alfred_gdpc1_vintage_date,641
calendar_status::fallback_deterministic_month_end,319
headline_A_S_T_calendar_status::derived_from_alfred_gdpc1_vintage_date,240
point_coverage::exact::pre_advance::A,80
point_coverage::exact::pre_second::S,79
point_coverage::exact::pre_third::T,80
point_coverage::pseudo::pre_advance::A,80
point_coverage::pseudo::pre_second::S,79
point_coverage::pseudo::pre_third::T,80
revision_coverage::exact::pre_advance::DELTA_SA,79
revision_coverage::exact::pre_second::DELTA_TS,79
revision_coverage::exact::pre_third::DELTA_MT,80
revision_coverage::pseudo::pre_advance::DELTA_SA,79
revision_coverage::pseudo::pre_second::DELTA_TS,79
revision_coverage::pseudo::pre_third::DELTA_MT,80
