model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,A,80,0,0.0,0.0,,,,,7.181818733775091,7.136876466075766,,,,,0.0
ar,exact,pre_second,S,79,0,0.0,0.0,,,,,6.986343495667327,6.942115480721942,,,,,0.0
ar,exact,pre_third,T,80,0,0.0,0.0,,,,,6.896802153026556,6.853900266254954,,,,,0.0
ar,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,7.181818733775091,7.136876466075766,,,,,0.0
ar,pseudo,pre_second,S,79,0,0.0,0.0,,,,,6.986343495667327,6.942115480721942,,,,,0.0
ar,pseudo,pre_third,T,80,0,0.0,0.0,,,,,6.896802153026556,6.853900266254954,,,,,0.0
bridge,exact,pre_advance,A,80,0,0.0,0.0,,,,,4.90367088807278,4.873697083215683,,,,,0.0
bridge,exact,pre_second,S,79,0,0.0,0.0,,,,,4.571323844861157,4.54265384858136,,,,,0.0
bridge,exact,pre_third,T,80,0,0.0,0.0,,,,,4.429520821390448,4.4019297631577015,,,,,0.0
bridge,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,4.883513325058257,4.853299396730429,,,,,0.0
bridge,pseudo,pre_second,S,79,0,0.0,0.0,,,,,4.570841796783709,4.542167880186523,,,,,0.0
bridge,pseudo,pre_third,T,80,0,0.0,0.0,,,,,4.426287779520506,4.398694165093339,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,2.785699200675792,4.197203199841434,7.8609572184468925,2.0538199230511163,3.8574499641103777,3.8416166333105983,0.5346238625797471,0.5324294396971595,0.625,0.8125,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.3614173140783399,0.4072745582022503,0.4393496745562476,0.6338727746247501,0.6020913985732373,0.598386070005223,1.0593040286168716,1.052784969403025,0.7974683544303798,0.9113924050632911,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.1299320533705049,0.14252090789000033,0.4968459726489083,0.38157551240210347,0.37098494823445216,0.3718824724146734,1.0260647938702034,1.0285471532418031,0.85,0.9375,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,2.784508797851092,4.206255611982723,7.8609572184468925,2.056994950698205,3.85597501623267,3.841304072277881,0.535493913523595,0.5334565037477633,0.625,0.8,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,79,1.0,1.0,0.3614185789215741,0.4089040592402772,0.4393496745562476,0.6339121501774441,0.6018565572587815,0.598166283039028,1.059759080630233,1.0532611841344108,0.7974683544303798,0.9113924050632911,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,80,1.0,1.0,0.1299320312313706,0.1425202795715489,0.4968418442632513,0.3815769101337575,0.37094385973658517,0.37184275368511477,1.0261781528675045,1.0286648508071359,0.85,0.9375,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,1.874977979883495,3.0745291792095424,6.197114114847054,1.7782925370125473,3.798365648249413,3.775440616315035,0.4710158939668939,0.4681730780268943,0.6,0.7625,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.3559080888458333,0.396126637062582,0.4203019511711488,0.6259436896256045,0.6438814706732935,0.6432477414262302,0.9730989311174906,0.9721411752555454,0.7468354430379747,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.125659559518095,0.138731938144461,0.4973167731990001,0.375613508162829,0.37278240872370777,0.3724990872233363,1.008360882070096,1.0075945092173584,0.8375,0.9375,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,1.8745807575545856,3.083558396082317,6.197114114847054,1.7774560021824073,3.797350694874565,3.7745234714470803,0.47090871619377284,0.4680779166858385,0.6,0.775,1.0
