model_id,checkpoint_id,revision_target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,DELTA_SA,0.6112853443552796,0.6112853443552796,0.0
ar,pre_second,DELTA_TS,0.40531560181673026,0.40531560181673026,0.0
ar,pre_third,DELTA_MT,2.342995496965068,2.342995496965068,0.0
bridge,pre_advance,DELTA_SA,0.6398644207963774,0.6459173190553972,-0.006052898259019779
bridge,pre_second,DELTA_TS,0.4917388661810878,0.49184692349867715,-0.00010805731758933845
bridge,pre_third,DELTA_MT,1.8188933226097863,1.8153651548079333,0.003528167801853055
indicator_revision_only_dfm_kalman_em,pre_advance,DELTA_SA,0.5605800485026388,0.5605800485026388,0.0
indicator_revision_only_dfm_kalman_em,pre_second,DELTA_TS,0.3617234561115697,0.3617234561115697,0.0
indicator_revision_only_dfm_kalman_em,pre_third,DELTA_MT,1.2898514041328908,1.2898514041328908,0.0
joint_indicator_revision_dfm_full_kalman_em,pre_advance,DELTA_SA,0.5878393016425709,0.5882936565084114,-0.00045435486584044504
joint_indicator_revision_dfm_full_kalman_em,pre_second,DELTA_TS,0.36250132341119906,0.3625198909724895,-1.8567561290427914e-05
joint_indicator_revision_dfm_full_kalman_em,pre_third,DELTA_MT,1.2922457215483245,1.2922454583959668,2.6315235768237244e-07
midas_umidas,pre_advance,DELTA_SA,10.835084705876707,10.276985276438971,0.5580994294377355
midas_umidas,pre_second,DELTA_TS,1.262180646974971,1.261637860474672,0.0005427865002989307
midas_umidas,pre_third,DELTA_MT,6.754686347139549,6.712958459408187,0.041727887731362046
monthly_mixed_frequency_kalman_em,pre_advance,DELTA_SA,0.5503861803954445,0.5497801744288012,0.000606005966643286
monthly_mixed_frequency_kalman_em,pre_second,DELTA_TS,0.36164358619069475,0.36025778857443824,0.0013857976162565122
monthly_mixed_frequency_kalman_em,pre_third,DELTA_MT,1.3426857126504979,1.3431619424245083,-0.000476229774010406
no_revision,pre_advance,DELTA_SA,0.5605800485026388,0.5605800485026388,0.0
no_revision,pre_second,DELTA_TS,0.3617234561115697,0.3617234561115697,0.0
no_revision,pre_third,DELTA_MT,1.2898514041328908,1.2898514041328908,0.0
release_dfm,pre_advance,DELTA_SA,0.5721768290649004,0.5718541100447838,0.0003227190201166019
release_dfm,pre_second,DELTA_TS,0.36250412810325744,0.3625366745191803,-3.2546415922873884e-05
release_dfm,pre_third,DELTA_MT,1.3329865170198063,1.3320577056187637,0.0009288114010426174
revision_dfm_kalman_em,pre_advance,DELTA_SA,0.5730251542996614,0.5730522360844849,-2.7081784823468347e-05
revision_dfm_kalman_em,pre_second,DELTA_TS,0.36188436658516654,0.36188570745359655,-1.3408684300109108e-06
revision_dfm_kalman_em,pre_third,DELTA_MT,1.2919222974388838,1.291921554684967,7.427539168158859e-07
spf,pre_advance,DELTA_SA,0.5605800485026388,0.5605800485026388,0.0
spf,pre_second,DELTA_TS,0.3617234561115697,0.3617234561115697,0.0
spf,pre_third,DELTA_MT,1.2898514041328908,1.2898514041328908,0.0
standard_dfm,pre_advance,DELTA_SA,0.5721768290649004,0.5718541100447838,0.0003227190201166019
standard_dfm,pre_second,DELTA_TS,0.36551784576547564,0.36550058442706196,1.7261338413676608e-05
standard_dfm,pre_third,DELTA_MT,1.3999935371727634,1.3975079284391911,0.0024856087335722865
