relative_path,size_bytes
FREEZE_FAILURE_AUDIT.csv,2390
HEADLINE_POINT_WINNERS_FROM_FREEZE.csv,1013
HEADLINE_REVISION_WINNERS_FROM_FREEZE.csv,1316
MANIFEST.json,18276
MATURE_ROBUSTNESS_WINNERS_FROM_FREEZE.csv,6847
README.md,356
STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,19238
STATE_SPACE_CONVERGENCE_STABILITY_50_VS_100.csv,11642
STATE_SPACE_COVARIANCE_SUMMARY_MAIN_MAX_ITER100.csv,3236
STATE_SPACE_INITIALIZATION_STABILITY_INCLUDING_MIXED_FREQUENCY.csv,9666
STATE_SPACE_INITIALIZATION_STABILITY_SUMMARY.csv,768
STATE_SPACE_VARIANCE_POINT_MAIN_MAX_ITER100.csv,9959
STATE_SPACE_VARIANCE_REVISION_MAIN_MAX_ITER100.csv,10668
claim_audit_table.csv,22310
convergence_stability/convergence_point_runs.csv,52391
convergence_stability/convergence_point_stability.csv,5688
convergence_stability/convergence_revision_runs.csv,53776
convergence_stability/convergence_revision_stability.csv,5766
initialization_audit/initialization_point_runs.csv,114188
initialization_audit/initialization_point_stability.csv,4708
initialization_audit/initialization_revision_runs.csv,117001
initialization_audit/initialization_revision_stability.csv,4798
initialization_audit/manifest.json,2018
initialization_audit/seed_1/exact_pseudo_point_gaps.csv,2738
initialization_audit/seed_1/exact_pseudo_revision_gaps.csv,2942
initialization_audit/seed_1/failures.csv,1
initialization_audit/seed_1/forecast_results.csv,187339
initialization_audit/seed_1/gdp_release_calendar_used.csv,304585
initialization_audit/seed_1/metrics_summary.csv,12191
initialization_audit/seed_1/revision_forecast_results.csv,205136
initialization_audit/seed_1/revision_metrics_summary.csv,12807
initialization_audit/seed_1/run_summary.md,46796
initialization_audit/seed_1/state_space_covariance_records.csv,836633
initialization_audit/seed_1/timing_audit_by_checkpoint.csv,4399
initialization_audit/seed_2/exact_pseudo_point_gaps.csv,2732
initialization_audit/seed_2/exact_pseudo_revision_gaps.csv,2944
initialization_audit/seed_2/failures.csv,1
initialization_audit/seed_2/forecast_results.csv,187295
initialization_audit/seed_2/gdp_release_calendar_used.csv,304585
initialization_audit/seed_2/metrics_summary.csv,12205
initialization_audit/seed_2/revision_forecast_results.csv,205097
initialization_audit/seed_2/revision_metrics_summary.csv,12801
initialization_audit/seed_2/run_summary.md,46796
initialization_audit/seed_2/state_space_covariance_records.csv,836682
initialization_audit/seed_2/timing_audit_by_checkpoint.csv,4399
initialization_audit/seed_3/exact_pseudo_point_gaps.csv,2742
initialization_audit/seed_3/exact_pseudo_revision_gaps.csv,2942
initialization_audit/seed_3/failures.csv,1
