model_id,timing_mode,checkpoint_id,outcome_id,n_density_forecasts,mean_log_score,mean_crps,coverage_68,coverage_90,mean_predictive_sd,pit_mean,pit_std,brier_below_zero
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,-3.8352080517489364,1.740071523470624,0.625,0.8125,2.0538199230511163,0.42940259535368897,0.306311156304666,0.09653202111720609
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,-0.9058542661533205,0.3276042667902878,0.7974683544303798,0.9113924050632911,0.6338727746247501,0.5146167990106788,0.2626492273814874,0.017480264428446548
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,-0.44739612860129185,0.1877475403692639,0.85,0.9375,0.38157551240210336,0.5564406491289702,0.23732751440015923,0.0017271012500320385
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,-3.837092614276839,1.736282559723485,0.625,0.8,2.056994950698205,0.425959294964459,0.3043265980868775,0.09619396489142505
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,-0.905623047257417,0.3274517750815137,0.7974683544303798,0.9113924050632911,0.633912150177444,0.5150347185968049,0.262436983606845,0.01748058803408074
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,-0.44736553016739683,0.18773143654305843,0.85,0.9375,0.3815769101337575,0.5564318350567261,0.23731072514132134,0.0017267802183648438
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,-4.372150812412504,1.6655976580837966,0.6,0.7625,1.7782925370125475,0.44861418031771,0.31701041745223035,0.09186497799092914
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,-0.9852638232965922,0.3507466286478622,0.7468354430379747,0.8860759493670886,0.6259436896256045,0.469877847561156,0.27289220594128805,0.01740593337635558
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,-0.44590924434938517,0.1881887661036469,0.8375,0.9375,0.375613508162829,0.5499673754666915,0.242332922563749,0.001913650291962847
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,-4.369478137010317,1.660866377402615,0.6,0.775,1.7774560021824073,0.44690249894518175,0.3164462383013311,0.09168726303814465
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,-0.9841751744993258,0.35022316661676967,0.7341772151898734,0.8860759493670886,0.6258759048909521,0.4702439915268888,0.2724317130653183,0.017399198398600726
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,-0.4458778125477873,0.1881826277136773,0.8375,0.9375,0.37561164447399376,0.5500057327662556,0.24232384138135174,0.0019145842927306954
midas_umidas,exact,pre_advance,A,68,-4.114163400322953,6.280939763569509,0.8382352941176471,0.9558823529411765,12.234077447843715,0.5432100710462354,0.22341323026198287,0.2872033710612257
midas_umidas,exact,pre_second,S,67,-4.155173103463967,2.1013279936848264,0.835820895522388,0.8955223880597015,3.3985247481447747,0.46594985220670315,0.2320930497858939,0.12450338155851773
midas_umidas,exact,pre_third,T,68,-4.186824130270051,2.490610900048054,0.7794117647058824,0.8823529411764706,3.609016496492913,0.47901397805430934,0.2461789806770862,0.11036220954631278
midas_umidas,pseudo,pre_advance,A,68,-4.1346038351251835,6.36615037136162,0.8382352941176471,0.9558823529411765,12.371873173313688,0.5467272659012467,0.22315067671720307,0.2869521643939856
midas_umidas,pseudo,pre_second,S,67,-4.151589679453058,2.0914237938689744,0.835820895522388,0.8955223880597015,3.3915376596907203,0.47100887644309397,0.23134724370257706,0.12491495674190803
midas_umidas,pseudo,pre_third,T,68,-4.194349403565249,2.490297750862184,0.7794117647058824,0.8823529411764706,3.5978499047023877,0.4752100080701297,0.24789428112634623,0.10900230281387378
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,-4.748027423870174,1.7951782130324332,0.75,0.875,2.200858368096998,0.4742320973481359,0.26858916410141237,0.08401878155719333
monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,-0.9360942291486011,0.31807911369467445,0.7974683544303798,0.8987341772151899,0.603992908130546,0.49809983527312485,0.2500950548852433,0.018653941157455143
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,-0.4395988834823476,0.19027644892695275,0.8375,0.95,0.39306034450111094,0.5128292697700478,0.24224084528838044,0.0022157912016181796
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,-4.74776514657888,1.7983644462289146,0.75,0.8625,2.201248083937976,0.4736803886481996,0.2690120485752469,0.08430481862495058
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,-0.9357719534021524,0.3179458395763219,0.7974683544303798,0.8987341772151899,0.6039619135891167,0.4984998123989686,0.24996380870674045,0.018643599198275494
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,-0.43920141688253145,0.19002779198582098,0.8375,0.95,0.39302648990656147,0.5135087083054197,0.24209594525127723,0.002240425130884095
no_revision,exact,pre_advance,A,68,-5.621629024037393,2.498832258140138,0.8235294117647058,0.9264705882352942,3.4053886205414123,0.47426686279139885,0.23631312360484635,0.12606021571325418
no_revision,exact,pre_second,S,67,-0.8833654489401548,0.30017969128674454,0.8656716417910447,0.9402985074626866,0.6909088366845302,0.5287086682538995,0.21701794463594232,0.02001927583710453
