coverage_item,value
source_dir,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/sensitivity_exclude_covid_max_iter100
point_forecast_rows,5126
revision_forecast_rows,5104
failure_rows,0
calendar_rows,960
calendar_status::derived_from_alfred_gdpc1_vintage_date,641
calendar_status::fallback_deterministic_month_end,319
headline_A_S_T_calendar_status::derived_from_alfred_gdpc1_vintage_date,240
point_coverage::exact::pre_advance::A,78
point_coverage::exact::pre_second::S,77
point_coverage::exact::pre_third::T,78
point_coverage::pseudo::pre_advance::A,78
point_coverage::pseudo::pre_second::S,77
point_coverage::pseudo::pre_third::T,78
revision_coverage::exact::pre_advance::DELTA_SA,77
revision_coverage::exact::pre_second::DELTA_TS,77
revision_coverage::exact::pre_third::DELTA_MT,78
revision_coverage::pseudo::pre_advance::DELTA_SA,77
revision_coverage::pseudo::pre_second::DELTA_TS,77
revision_coverage::pseudo::pre_third::DELTA_MT,78
