timing_mode,checkpoint_id,target_id,best_models,best_RMSE,best_MAE,best_bias,best_relative_RMSFE,best_DM_test,best_sign_accuracy,best_n_forecasts,n_models_compared,structured_family_win
exact,pre_advance,A,spf,2.2249600782092696,1.33806625,0.0324862499999999,0.2075320534982299,0.1974209910791325,0.9375,80,11,False
exact,pre_second,S,no_revision,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0541323221911913,0.1292791440771241,0.9620253164556962,79,11,False
exact,pre_third,T,no_revision,0.3621867125530698,0.2402725,-0.0484925,0.038929007361453,0.1789560145888268,1.0,80,11,False
pseudo,pre_advance,A,spf,2.2249600782092696,1.33806625,0.0324862499999999,0.2075320534982299,0.1974209910791325,0.9375,80,11,False
pseudo,pre_second,S,no_revision,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0541323221911913,0.1292791440771241,0.9620253164556962,79,11,False
pseudo,pre_third,T,no_revision,0.3621867125530698,0.2402725,-0.0484925,0.038929007361453,0.1789560145888268,1.0,80,11,False
