model_id,checkpoint_id,target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,A,1.7654191514099524,1.7654191514099524,0.0
ar,pre_second,S,1.80636785450895,1.80636785450895,0.0
ar,pre_third,T,1.7787008830053102,1.7787008830053102,0.0
bridge,pre_advance,A,2.7285847959960545,2.719390256560005,0.009194539436049531
bridge,pre_second,S,2.6539049413862896,2.641525824642671,0.012379116743618468
bridge,pre_third,T,2.445114201294465,2.4060543580403753,0.03905984325408962
indicator_revision_only_dfm_kalman_em,pre_advance,A,2.642456083236048,2.629319806484897,0.013136276751151144
indicator_revision_only_dfm_kalman_em,pre_second,S,0.3972858372528778,0.3972473205804346,3.851667244320067e-05
indicator_revision_only_dfm_kalman_em,pre_third,T,0.27143594302137436,0.2714305877303228,5.35529105155641e-06
joint_indicator_revision_dfm_full_kalman_em,pre_advance,A,2.5626086562111423,2.5520903864823454,0.01051826972879688
joint_indicator_revision_dfm_full_kalman_em,pre_second,S,0.370321521686029,0.3718768914056772,-0.001555369719648203
joint_indicator_revision_dfm_full_kalman_em,pre_third,T,0.27615728821273067,0.27613170387445224,2.558433827842821e-05
midas_umidas,pre_advance,A,3.566509670384565,3.5290158748869644,0.03749379549760068
midas_umidas,pre_second,S,1.1787194890766577,1.185701136523129,-0.006981647446471229
midas_umidas,pre_third,T,1.0164641102995218,1.0049995063492763,0.011464603950245511
monthly_mixed_frequency_kalman_em,pre_advance,A,2.824731403176868,2.8249467629985174,-0.00021535982164921919
monthly_mixed_frequency_kalman_em,pre_second,S,0.2771162923930014,0.27709091891182663,2.5373481174761903e-05
monthly_mixed_frequency_kalman_em,pre_third,T,0.2664730985696655,0.26706449259786175,-0.000591394028196246
no_revision,pre_advance,A,1.8557182512354309,1.8557182512354309,0.0
no_revision,pre_second,S,0.2421589698249203,0.2421589698249203,0.0
no_revision,pre_third,T,0.26819747854892295,0.26819747854892295,0.0
release_dfm,pre_advance,A,2.9973948916502517,2.991440691775283,0.005954199874968591
release_dfm,pre_second,S,0.25824265369859845,0.2582642308257391,-2.1577127140681718e-05
release_dfm,pre_third,T,0.2622054083586539,0.2622645428115425,-5.913445288857622e-05
revision_dfm_kalman_em,pre_advance,A,2.761992105083386,2.747886210475252,0.01410589460813405
revision_dfm_kalman_em,pre_second,S,0.23509098297423198,0.23537011613555284,-0.0002791331613208603
revision_dfm_kalman_em,pre_third,T,0.2690339949695428,0.26904749437733233,-1.3499407789552276e-05
standard_dfm,pre_advance,A,2.9973948916502517,2.991440691775283,0.005954199874968591
standard_dfm,pre_second,S,3.092752758762728,3.090338191796919,0.0024145669658093283
standard_dfm,pre_third,T,3.0209640145847705,3.006460931357697,0.01450308322707361
