model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,sensitivity,specificity,precision,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
ar,exact,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4717741935483871,0.75,0.1935483870967742,0.5901639344262295,36,12,25,6,0.3997025316455695,0.2501262918179009
ar,exact,pre_advance,DELTA_SA,0.1,61,0.5081967213114754,0.45551801801801806,0.7027027027027027,0.20833333333333334,0.5777777777777777,26,11,19,5,0.5046213114754097,0.22550355950170461
ar,exact,pre_advance,DELTA_SA,0.2,52,0.5769230769230769,0.5103668261562998,0.7575757575757576,0.2631578947368421,0.6410256410256411,25,8,14,5,0.5673499999999999,0.23054727399781202
ar,exact,pre_second,DELTA_TS,0.0,79,0.6075949367088608,0.5414965986394558,0.8163265306122449,0.26666666666666666,0.6451612903225806,40,9,22,8,0.23798607594936708,0.1425640531463274
ar,exact,pre_second,DELTA_TS,0.1,51,0.6274509803921569,0.5294117647058824,0.8235294117647058,0.23529411764705882,0.6829268292682927,28,6,13,4,0.3465450980392156,0.15565290819291144
ar,exact,pre_second,DELTA_TS,0.2,38,0.6842105263157895,0.5607142857142857,0.8214285714285714,0.3,0.7666666666666667,23,5,7,3,0.41342105263157897,0.1790134198990545
ar,exact,pre_third,DELTA_MT,0.0,80,0.4625,0.45551378446115287,0.5952380952380952,0.3157894736842105,0.49019607843137253,25,17,26,12,1.05551,1.2324532957288583
ar,exact,pre_third,DELTA_MT,0.1,75,0.4266666666666667,0.42496443812233287,0.5526315789473685,0.2972972972972973,0.44680851063829785,21,17,26,11,1.123417333333333,1.2246956287850401
ar,exact,pre_third,DELTA_MT,0.2,68,0.4411764705882353,0.4340277777777778,0.5555555555555556,0.3125,0.47619047619047616,20,16,22,10,1.223070588235294,1.3204031541974068
ar,pseudo,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4717741935483871,0.75,0.1935483870967742,0.5901639344262295,36,12,25,6,0.3997025316455695,0.2501262918179009
ar,pseudo,pre_advance,DELTA_SA,0.1,61,0.5081967213114754,0.45551801801801806,0.7027027027027027,0.20833333333333334,0.5777777777777777,26,11,19,5,0.5046213114754097,0.22550355950170461
ar,pseudo,pre_advance,DELTA_SA,0.2,52,0.5769230769230769,0.5103668261562998,0.7575757575757576,0.2631578947368421,0.6410256410256411,25,8,14,5,0.5673499999999999,0.23054727399781202
ar,pseudo,pre_second,DELTA_TS,0.0,79,0.6075949367088608,0.5414965986394558,0.8163265306122449,0.26666666666666666,0.6451612903225806,40,9,22,8,0.23798607594936708,0.1425640531463274
ar,pseudo,pre_second,DELTA_TS,0.1,51,0.6274509803921569,0.5294117647058824,0.8235294117647058,0.23529411764705882,0.6829268292682927,28,6,13,4,0.3465450980392156,0.15565290819291144
ar,pseudo,pre_second,DELTA_TS,0.2,38,0.6842105263157895,0.5607142857142857,0.8214285714285714,0.3,0.7666666666666667,23,5,7,3,0.41342105263157897,0.1790134198990545
ar,pseudo,pre_third,DELTA_MT,0.0,80,0.4625,0.45551378446115287,0.5952380952380952,0.3157894736842105,0.49019607843137253,25,17,26,12,1.05551,1.2324532957288583
ar,pseudo,pre_third,DELTA_MT,0.1,75,0.4266666666666667,0.42496443812233287,0.5526315789473685,0.2972972972972973,0.44680851063829785,21,17,26,11,1.123417333333333,1.2246956287850401
ar,pseudo,pre_third,DELTA_MT,0.2,68,0.4411764705882353,0.4340277777777778,0.5555555555555556,0.3125,0.47619047619047616,20,16,22,10,1.223070588235294,1.3204031541974068
bridge,exact,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4889112903225806,0.6875,0.2903225806451613,0.6,33,15,22,9,0.3997025316455695,0.2787688878309755
bridge,exact,pre_advance,DELTA_SA,0.1,61,0.5409836065573771,0.5045045045045045,0.6756756756756757,0.3333333333333333,0.6097560975609756,25,12,16,8,0.5046213114754097,0.2706173962508547
bridge,exact,pre_advance,DELTA_SA,0.2,52,0.5961538461538461,0.5478468899521531,0.7272727272727273,0.3684210526315789,0.6666666666666666,24,9,12,7,0.5673499999999999,0.27307101904866415
bridge,exact,pre_second,DELTA_TS,0.0,79,0.620253164556962,0.5904761904761905,0.7142857142857143,0.4666666666666667,0.6862745098039216,35,14,16,14,0.23798607594936708,0.27806300763582714
bridge,exact,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6176470588235294,0.7647058823529411,0.47058823529411764,0.7428571428571429,26,8,9,8,0.3465450980392156,0.2586615872734547
bridge,exact,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.6607142857142857,0.8214285714285714,0.5,0.8214285714285714,23,5,5,5,0.41342105263157897,0.2806081578630768
bridge,exact,pre_third,DELTA_MT,0.0,80,0.475,0.474937343358396,0.47619047619047616,0.47368421052631576,0.5,20,22,20,18,1.05551,0.9412102396336826
bridge,exact,pre_third,DELTA_MT,0.1,75,0.4533333333333333,0.45341394025604553,0.4473684210526316,0.4594594594594595,0.4594594594594595,17,21,20,17,1.123417333333333,0.9545055140292925
bridge,exact,pre_third,DELTA_MT,0.2,68,0.47058823529411764,0.4704861111111111,0.4722222222222222,0.46875,0.5,17,19,17,15,1.223070588235294,0.9956215770465083
bridge,pseudo,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4889112903225806,0.6875,0.2903225806451613,0.6,33,15,22,9,0.3997025316455695,0.28086874104598786
bridge,pseudo,pre_advance,DELTA_SA,0.1,61,0.5409836065573771,0.5045045045045045,0.6756756756756757,0.3333333333333333,0.6097560975609756,25,12,16,8,0.5046213114754097,0.2743039091870128
bridge,pseudo,pre_advance,DELTA_SA,0.2,52,0.5961538461538461,0.5478468899521531,0.7272727272727273,0.3684210526315789,0.6666666666666666,24,9,12,7,0.5673499999999999,0.27722397271991717
bridge,pseudo,pre_second,DELTA_TS,0.0,79,0.6329113924050633,0.6136054421768707,0.6938775510204082,0.5333333333333333,0.7083333333333334,34,15,14,16,0.23798607594936708,0.2797953138222748
bridge,pseudo,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6323529411764706,0.7352941176470589,0.5294117647058824,0.7575757575757576,25,9,8,9,0.3465450980392156,0.2612753141240611
bridge,pseudo,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.6928571428571428,0.7857142857142857,0.6,0.8461538461538461,22,6,4,6,0.41342105263157897,0.2843150968084261
bridge,pseudo,pre_third,DELTA_MT,0.0,80,0.4625,0.4630325814536341,0.4523809523809524,0.47368421052631576,0.48717948717948717,19,23,20,18,1.05551,0.9418005099922849
bridge,pseudo,pre_third,DELTA_MT,0.1,75,0.44,0.4402560455192034,0.42105263157894735,0.4594594594594595,0.4444444444444444,16,22,20,17,1.123417333333333,0.9552232130403394
bridge,pseudo,pre_third,DELTA_MT,0.2,68,0.45588235294117646,0.4565972222222222,0.4444444444444444,0.46875,0.48484848484848486,16,20,17,15,1.223070588235294,0.9966367044725652
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.0,79,0.0,0.5,0.0,1.0,,0,48,0,31,0.3997025316455695,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.1,61,0.0,0.5,0.0,1.0,,0,37,0,24,0.5046213114754097,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.2,52,0.0,0.5,0.0,1.0,,0,33,0,19,0.5673499999999999,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.0,79,0.0,0.5,0.0,1.0,,0,49,0,30,0.23798607594936708,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.1,51,0.0,0.5,0.0,1.0,,0,34,0,17,0.3465450980392156,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.2,38,0.0,0.5,0.0,1.0,,0,28,0,10,0.41342105263157897,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.0,80,0.0,0.5,0.0,1.0,,0,42,0,38,1.05551,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.1,75,0.0,0.5,0.0,1.0,,0,38,0,37,1.123417333333333,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.2,68,0.0,0.5,0.0,1.0,,0,36,0,32,1.223070588235294,0.0
