model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.069146731837696,0.1537055775765625,0.2105589554855518,0.36755321563074284,0.4690018508315851,0.46632385017179917,0.7881930454454172,0.7836924630020881,0.759493670886076,0.8481012658227848,1.0
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,1.8533186702687283,2.3430299813648516,3.0706690888079393,1.5609122706493714,1.3681549165602593,1.3595772387038816,1.1480864979303622,1.1408885439477368,0.8,0.95,1.0
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.1942646268837009,0.3283759672531734,0.3845666932003069,0.5506962018444499,0.587095920613628,0.5834322857019153,0.9438905171007441,0.9380003888783055,0.7088607594936709,0.8987341772151899,1.0
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.069146731837696,0.1537050715588998,0.2113098537021267,0.3675406944862956,0.47151619694221053,0.4688893594029844,0.7838537751299551,0.7794868911604785,0.759493670886076,0.8481012658227848,1.0
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,1.8540264528298536,2.343047710106127,3.0820294310380727,1.560979081270229,1.3678967328609213,1.3593206516536922,1.1483523621679754,1.1411527228414977,0.8,0.95,1.0
no_revision,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.5694656229901923,0.5696627235545563,,,,,0.0
no_revision,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.3595420355888921,0.3613823734957444,,,,,0.0
no_revision,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.3467940527344975,1.338732745080212,,,,,0.0
no_revision,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.5694656229901923,0.5696627235545563,,,,,0.0
no_revision,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.3595420355888921,0.3613823734957444,,,,,0.0
no_revision,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.3467940527344975,1.338732745080212,,,,,0.0
release_dfm,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6767200577195455,0.6760634439292688,,,,,0.0
release_dfm,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.37132015791410833,0.3724901869052686,,,,,0.0
release_dfm,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.624120021631516,1.61914010006876,,,,,0.0
release_dfm,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6756157235081859,0.6749400052938735,,,,,0.0
release_dfm,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.37143910858186097,0.37258428680426003,,,,,0.0
release_dfm,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.6231612807232711,1.6182643009751925,,,,,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,79,1.0,1.0,0.1881891133474162,0.3497315712056488,0.4769413408926604,0.5878859132389403,0.67962256568214,0.6770537174494425,0.8683002516456007,0.8650182364808279,0.7341772151898734,0.8607594936708861,1.0
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.0559806747404008,0.1620771822865094,0.186403319941015,0.3507672743986943,0.3669524031698096,0.36797020611457704,0.9532491179176443,0.9558931113918185,0.7341772151898734,0.8734177215189873,1.0
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,1.6547252059160646,2.375992412243246,2.9967081886287636,1.5572264057303407,1.347234671626721,1.3392333692398561,1.1627744958402706,1.1558687127982423,0.8125,0.95,1.0
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.188189024537051,0.3497315712056488,0.4769360291134235,0.5872814057892878,0.6792615972566672,0.6767020876904573,0.8678581261565828,0.8645879704684326,0.7341772151898734,0.8607594936708861,1.0
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.0559782663243594,0.1620768346601675,0.1864046692225465,0.3508019972385124,0.36687989831317025,0.36794195663699875,0.9534166759476247,0.9561766639475743,0.7341772151898734,0.8734177215189873,1.0
revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,1.6547119036914255,2.374281735955398,2.9967081886287636,1.5571405077487939,1.3472109880851038,1.339209166526412,1.1627313691315626,1.1558252727451988,0.8125,0.95,1.0
spf,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.5694656229901923,0.5696627235545563,,,,,0.0
spf,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.3595420355888921,0.3613823734957444,,,,,0.0
spf,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.3467940527344975,1.338732745080212,,,,,0.0
spf,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.5694656229901923,0.5696627235545563,,,,,0.0
spf,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.3595420355888921,0.3613823734957444,,,,,0.0
spf,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.3467940527344975,1.338732745080212,,,,,0.0
standard_dfm,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6767200577195455,0.6760634439292688,,,,,0.0
standard_dfm,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.37734636052384013,0.3763207344002105,,,,,0.0
standard_dfm,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.824640147852179,1.8434723018129102,,,,,0.0
standard_dfm,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6756157235081859,0.6749400052938735,,,,,0.0
standard_dfm,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.3773476742231601,0.3763272402442495,,,,,0.0
standard_dfm,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.8202268137591069,1.8390179457039795,,,,,0.0
