model_id,checkpoint_id,target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,A,7.136876466075766,7.136876466075766,0.0
ar,pre_second,S,6.942115480721942,6.942115480721942,0.0
ar,pre_third,T,6.853900266254954,6.853900266254954,0.0
bridge,pre_advance,A,4.873697083215683,4.853299396730428,0.0203976864852553
bridge,pre_second,S,4.54265384858136,4.542167880186523,0.0004859683948374
bridge,pre_third,T,4.401929763157702,4.398694165093339,0.0032355980643634
indicator_revision_only_dfm_kalman_em,pre_advance,A,3.565573758950876,3.565231720798303,0.0003420381525729
indicator_revision_only_dfm_kalman_em,pre_second,S,0.5913441736166517,0.5913486733086548,-4.499692003112621e-06
indicator_revision_only_dfm_kalman_em,pre_third,T,0.3707703330897534,0.3707152109569165,5.512213283681566e-05
joint_indicator_revision_dfm_full_kalman_em,pre_advance,A,3.6085298618787736,3.6092417977258937,-0.0007119358471197
joint_indicator_revision_dfm_full_kalman_em,pre_second,S,0.6318578605374555,0.63145601185781,0.0004018486796455
joint_indicator_revision_dfm_full_kalman_em,pre_third,T,0.3721212382773847,0.3721347665408355,-1.3528263450801605e-05
midas_umidas,pre_advance,A,13.366462459511451,13.553973435987375,-0.1875109764759255
midas_umidas,pre_second,S,4.770330173182115,4.7627716394170765,0.0075585337650387
midas_umidas,pre_third,T,6.190490508808118,6.186914482958172,0.0035760258499459
monthly_mixed_frequency_kalman_em,pre_advance,A,3.724636447796112,3.727901074445354,-0.0032646266492419
monthly_mixed_frequency_kalman_em,pre_second,S,0.5898720623831147,0.5888586237650965,0.0010134386180182
monthly_mixed_frequency_kalman_em,pre_third,T,0.3689494943196956,0.3679534545978968,0.0009960397217987
no_revision,pre_advance,A,7.26944298718703,7.26944298718703,0.0
no_revision,pre_second,S,0.5696627235545563,0.5696627235545563,0.0
no_revision,pre_third,T,0.3621867125530698,0.3621867125530698,0.0
release_dfm,pre_advance,A,3.065863149762876,3.051686880620196,0.0141762691426801
release_dfm,pre_second,S,0.6907381923525489,0.6904136306729566,0.0003245616795922
release_dfm,pre_third,T,0.4446166872002174,0.4446354112046445,-1.872400442709532e-05
revision_dfm_kalman_em,pre_advance,A,3.3827862430691154,3.38000284694541,0.0027833961237053
revision_dfm_kalman_em,pre_second,S,0.6949709053483214,0.6946533920278625,0.0003175133204589
revision_dfm_kalman_em,pre_third,T,0.3730632960286779,0.3729824226779347,8.087335074319357e-05
spf,pre_advance,A,2.2249600782092696,2.2249600782092696,0.0
spf,pre_second,S,2.3374416593545337,2.3374416593545337,0.0
spf,pre_third,T,2.380187605841187,2.380187605841187,0.0
standard_dfm,pre_advance,A,3.065863149762876,3.051686880620196,0.0141762691426801
standard_dfm,pre_second,S,2.92338529783958,2.9162859684726596,0.0070993293669205
standard_dfm,pre_third,T,2.9071466913431796,2.906128566370332,0.0010181249728478
