date,UMCSENT_19980731,UMCSENT_19980828,UMCSENT_19981002,UMCSENT_19981030,UMCSENT_19981125,UMCSENT_19981223,UMCSENT_19990129,UMCSENT_19990226,UMCSENT_19990326,UMCSENT_19990430,UMCSENT_19990528,UMCSENT_19990625,UMCSENT_19990730,UMCSENT_19990827,UMCSENT_19991001,UMCSENT_19991029,UMCSENT_19991124,UMCSENT_19991222,UMCSENT_20000128,UMCSENT_20000303,UMCSENT_20000331,UMCSENT_20000428,UMCSENT_20000526,UMCSENT_20000630,UMCSENT_20000728,UMCSENT_20000901,UMCSENT_20000929,UMCSENT_20001027,UMCSENT_20001122,UMCSENT_20001222,UMCSENT_20010202,UMCSENT_20010302,UMCSENT_20010330,UMCSENT_20010427,UMCSENT_20010525,UMCSENT_20010629,UMCSENT_20010727,UMCSENT_20010831,UMCSENT_20010928,UMCSENT_20011026,UMCSENT_20011121,UMCSENT_20011221,UMCSENT_20020201,UMCSENT_20020301,UMCSENT_20020328,UMCSENT_20020426,UMCSENT_20020531,UMCSENT_20020628,UMCSENT_20020726,UMCSENT_20020830,UMCSENT_20020927,UMCSENT_20021025,UMCSENT_20021127,UMCSENT_20021223,UMCSENT_20030131,UMCSENT_20030228,UMCSENT_20030328,UMCSENT_20030425,UMCSENT_20030530,UMCSENT_20030627,UMCSENT_20030801,UMCSENT_20030829,UMCSENT_20030926,UMCSENT_20031031,UMCSENT_20031126,UMCSENT_20031223,UMCSENT_20040130,UMCSENT_20040227,UMCSENT_20040326,UMCSENT_20040430,UMCSENT_20040528,UMCSENT_20040625,UMCSENT_20040730,UMCSENT_20040827,UMCSENT_20041001,UMCSENT_20041029,UMCSENT_20041124,UMCSENT_20041223,UMCSENT_20050204,UMCSENT_20050304,UMCSENT_20050401,UMCSENT_20050429,UMCSENT_20050527,UMCSENT_20050701,UMCSENT_20050729,UMCSENT_20050826,UMCSENT_20050930,UMCSENT_20051028,UMCSENT_20051123,UMCSENT_20051223,UMCSENT_20060203,UMCSENT_20060303,UMCSENT_20060331,UMCSENT_20060428,UMCSENT_20060526,UMCSENT_20060630,UMCSENT_20060728,UMCSENT_20060901,UMCSENT_20060929,UMCSENT_20061027,UMCSENT_20061122,UMCSENT_20061222,UMCSENT_20070202,UMCSENT_20070302,UMCSENT_20070330,UMCSENT_20070427,UMCSENT_20070601,UMCSENT_20070629,UMCSENT_20070727,UMCSENT_20070831,UMCSENT_20070928,UMCSENT_20071026,UMCSENT_20071121,UMCSENT_20071221,UMCSENT_20080201,UMCSENT_20080229,UMCSENT_20080328,UMCSENT_20080425,UMCSENT_20080530,UMCSENT_20080627,UMCSENT_20080725,UMCSENT_20080829,UMCSENT_20080926,UMCSENT_20081031,UMCSENT_20081126,UMCSENT_20081223,UMCSENT_20090130,UMCSENT_20090227,UMCSENT_20090327,UMCSENT_20090501,UMCSENT_20090529,UMCSENT_20090626,UMCSENT_20090724,UMCSENT_20090828,UMCSENT_20090925,UMCSENT_20091030,UMCSENT_20091125,UMCSENT_20091223,UMCSENT_20100129,UMCSENT_20100226,UMCSENT_20100326,UMCSENT_20100430,UMCSENT_20100528,UMCSENT_20100625,UMCSENT_20100730,UMCSENT_20100827,UMCSENT_20101001,UMCSENT_20101029,UMCSENT_20101124,UMCSENT_20101223,UMCSENT_20110128,UMCSENT_20110225,UMCSENT_20110325,UMCSENT_20110429,UMCSENT_20110527,UMCSENT_20110701,UMCSENT_20110729,UMCSENT_20110826,UMCSENT_20110930,UMCSENT_20111028,UMCSENT_20111123,UMCSENT_20111222,UMCSENT_20120127,UMCSENT_20120224,UMCSENT_20120330,UMCSENT_20120427,UMCSENT_20120525,UMCSENT_20120629,UMCSENT_20120727,UMCSENT_20120831,UMCSENT_20120928,UMCSENT_20121026,UMCSENT_20121121,UMCSENT_20121221,UMCSENT_20130201,UMCSENT_20130301,UMCSENT_20130329,UMCSENT_20130426,UMCSENT_20130531,UMCSENT_20130628,UMCSENT_20130726,UMCSENT_20130830,UMCSENT_20130927,UMCSENT_20131025,UMCSENT_20131127,UMCSENT_20131223,UMCSENT_20140131,UMCSENT_20140228,UMCSENT_20140328,UMCSENT_20140425,UMCSENT_20140530,UMCSENT_20140627,UMCSENT_20140801,UMCSENT_20140829,UMCSENT_20140926,UMCSENT_20141031,UMCSENT_20141126,UMCSENT_20141223,UMCSENT_20150130,UMCSENT_20150227,UMCSENT_20150327,UMCSENT_20150501,UMCSENT_20150529,UMCSENT_20150626,UMCSENT_20150731,UMCSENT_20150828,UMCSENT_20150925,UMCSENT_20151030,UMCSENT_20151125,UMCSENT_20151223,UMCSENT_20160129,UMCSENT_20160226,UMCSENT_20160401,UMCSENT_20160429,UMCSENT_20160527,UMCSENT_20160624,UMCSENT_20160729,UMCSENT_20160826,UMCSENT_20160930,UMCSENT_20161028,UMCSENT_20161123,UMCSENT_20161223,UMCSENT_20170127,UMCSENT_20170224,UMCSENT_20170331,UMCSENT_20170428,UMCSENT_20170526,UMCSENT_20170630,UMCSENT_20170728,UMCSENT_20170901,UMCSENT_20170929,UMCSENT_20171027,UMCSENT_20171122,UMCSENT_20171222,UMCSENT_20180126,UMCSENT_20180302,UMCSENT_20180427,UMCSENT_20180525,UMCSENT_20180629,UMCSENT_20180727,UMCSENT_20180831,UMCSENT_20180928,UMCSENT_20181026,UMCSENT_20181121,UMCSENT_20181221,UMCSENT_20190201,UMCSENT_20190301,UMCSENT_20190329,UMCSENT_20190426,UMCSENT_20190531,UMCSENT_20190628,UMCSENT_20190802,UMCSENT_20190830,UMCSENT_20190927,UMCSENT_20191025,UMCSENT_20191122,UMCSENT_20191220,UMCSENT_20200131,UMCSENT_20200228,UMCSENT_20200327,UMCSENT_20200424,UMCSENT_20200529,UMCSENT_20200626,UMCSENT_20200731,UMCSENT_20200828,UMCSENT_20201002,UMCSENT_20201030,UMCSENT_20201125,UMCSENT_20201223,UMCSENT_20210129,UMCSENT_20210226,UMCSENT_20210326,UMCSENT_20210430,UMCSENT_20210528,UMCSENT_20210625,UMCSENT_20210730,UMCSENT_20210827,UMCSENT_20211001,UMCSENT_20211029,UMCSENT_20211124,UMCSENT_20211223,UMCSENT_20220128,UMCSENT_20220225,UMCSENT_20220325,UMCSENT_20220429,UMCSENT_20220527,UMCSENT_20220624,UMCSENT_20220729,UMCSENT_20220826,UMCSENT_20220930,UMCSENT_20221028,UMCSENT_20221123,UMCSENT_20221223,UMCSENT_20230127,UMCSENT_20230224,UMCSENT_20230331,UMCSENT_20230428,UMCSENT_20230526,UMCSENT_20230630,UMCSENT_20230728,UMCSENT_20230825,UMCSENT_20230929,UMCSENT_20231027,UMCSENT_20231122,UMCSENT_20231222,UMCSENT_20240202,UMCSENT_20240301,UMCSENT_20240328,UMCSENT_20240426,UMCSENT_20240524,UMCSENT_20240628,UMCSENT_20240726,UMCSENT_20240830,UMCSENT_20240927,UMCSENT_20241025,UMCSENT_20241122,UMCSENT_20241220,UMCSENT_20250124,UMCSENT_20250221,UMCSENT_20250328,UMCSENT_20250425,UMCSENT_20250530,UMCSENT_20250627,UMCSENT_20250801,UMCSENT_20250829,UMCSENT_20250926,UMCSENT_20251024,UMCSENT_20251121,UMCSENT_20251219,UMCSENT_20260123,UMCSENT_20260220
1952-11-01,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2
1952-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1953-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1953-02-01,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7
1953-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1953-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1953-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1953-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1953-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1953-08-01,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8
