date,HOUST_19600721,HOUST_19600818,HOUST_19600919,HOUST_19601018,HOUST_19601117,HOUST_19601216,HOUST_19610117,HOUST_19610216,HOUST_19610316,HOUST_19610414,HOUST_19610517,HOUST_19610616,HOUST_19610719,HOUST_19610818,HOUST_19610919,HOUST_19611017,HOUST_19611117,HOUST_19611218,HOUST_19620118,HOUST_19620216,HOUST_19620320,HOUST_19620417,HOUST_19620517,HOUST_19620618,HOUST_19620717,HOUST_19620817,HOUST_19620918,HOUST_19621019,HOUST_19621119,HOUST_19621219,HOUST_19630117,HOUST_19630219,HOUST_19630319,HOUST_19630417,HOUST_19630517,HOUST_19630618,HOUST_19630719,HOUST_19630820,HOUST_19630920,HOUST_19631017,HOUST_19631120,HOUST_19631218,HOUST_19640116,HOUST_19640218,HOUST_19640317,HOUST_19640417,HOUST_19640519,HOUST_19640618,HOUST_19640717,HOUST_19640819,HOUST_19640918,HOUST_19641019,HOUST_19641118,HOUST_19641217,HOUST_19650119,HOUST_19650218,HOUST_19650317,HOUST_19650419,HOUST_19650519,HOUST_19650618,HOUST_19650719,HOUST_19650818,HOUST_19650917,HOUST_19651019,HOUST_19651118,HOUST_19651217,HOUST_19660119,HOUST_19660217,HOUST_19660318,HOUST_19660418,HOUST_19660519,HOUST_19660620,HOUST_19660719,HOUST_19660818,HOUST_19660920,HOUST_19661018,HOUST_19661117,HOUST_19661216,HOUST_19670116,HOUST_19670215,HOUST_19670315,HOUST_19670417,HOUST_19670516,HOUST_19670616,HOUST_19670718,HOUST_19670816,HOUST_19670918,HOUST_19671016,HOUST_19671116,HOUST_19671218,HOUST_19680117,HOUST_19680216,HOUST_19680315,HOUST_19680417,HOUST_19680517,HOUST_19680620,HOUST_19680717,HOUST_19680816,HOUST_19680917,HOUST_19681016,HOUST_19681118,HOUST_19681217,HOUST_19690116,HOUST_19690217,HOUST_19690317,HOUST_19690415,HOUST_19690515,HOUST_19690617,HOUST_19690716,HOUST_19690815,HOUST_19690916,HOUST_19691016,HOUST_19691118,HOUST_19691217,HOUST_19700116,HOUST_19700217,HOUST_19700316,HOUST_19700416,HOUST_19700515,HOUST_19700616,HOUST_19700716,HOUST_19700817,HOUST_19700917,HOUST_19701016,HOUST_19701117,HOUST_19701217,HOUST_19710118,HOUST_19710218,HOUST_19710317,HOUST_19710416,HOUST_19710518,HOUST_19710616,HOUST_19710719,HOUST_19710817,HOUST_19710917,HOUST_19711018,HOUST_19711116,HOUST_19711216,HOUST_19720118,HOUST_19720216,HOUST_19720317,HOUST_19720418,HOUST_19720516,HOUST_19720616,HOUST_19720719,HOUST_19720816,HOUST_19720919,HOUST_19721018,HOUST_19721116,HOUST_19721218,HOUST_19730117,HOUST_19730216,HOUST_19730316,HOUST_19730417,HOUST_19730516,HOUST_19730618,HOUST_19730718,HOUST_19730816,HOUST_19730919,HOUST_19731017,HOUST_19731116,HOUST_19731218,HOUST_19740117,HOUST_19740219,HOUST_19740318,HOUST_19740419,HOUST_19740516,HOUST_19740618,HOUST_19740717,HOUST_19740816,HOUST_19740918,HOUST_19741017,HOUST_19741118,HOUST_19741217,HOUST_19750117,HOUST_19750219,HOUST_19750318,HOUST_19750416,HOUST_19750516,HOUST_19750617,HOUST_19750717,HOUST_19750818,HOUST_19750917,HOUST_19751017,HOUST_19751118,HOUST_19751216,HOUST_19760119,HOUST_19760218,HOUST_19760316,HOUST_19760416,HOUST_19760518,HOUST_19760616,HOUST_19760719,HOUST_19760817,HOUST_19760917,HOUST_19761019,HOUST_19761116,HOUST_19761216,HOUST_19770118,HOUST_19770216,HOUST_19770316,HOUST_19770416,HOUST_19770517,HOUST_19770616,HOUST_19770719,HOUST_19770816,HOUST_19770919,HOUST_19771019,HOUST_19771116,HOUST_19771216,HOUST_19780118,HOUST_19780216,HOUST_19780316,HOUST_19780418,HOUST_19780516,HOUST_19780616,HOUST_19780719,HOUST_19780816,HOUST_19780919,HOUST_19781018,HOUST_19781117,HOUST_19781218,HOUST_19790117,HOUST_19790219,HOUST_19790316,HOUST_19790417,HOUST_19790516,HOUST_19790618,HOUST_19790718,HOUST_19790816,HOUST_19790919,HOUST_19791017,HOUST_19791119,HOUST_19791218,HOUST_19800117,HOUST_19800219,HOUST_19800318,HOUST_19800416,HOUST_19800516,HOUST_19800617,HOUST_19800717,HOUST_19800818,HOUST_19800917,HOUST_19801017,HOUST_19801119,HOUST_19801216,HOUST_19810119,HOUST_19810218,HOUST_19810317,HOUST_19810416,HOUST_19810518,HOUST_19810616,HOUST_19810717,HOUST_19810818,HOUST_19810917,HOUST_19811019,HOUST_19811118,HOUST_19811216,HOUST_19820119,HOUST_19820217,HOUST_19820316,HOUST_19820416,HOUST_19820518,HOUST_19820616,HOUST_19820719,HOUST_19820817,HOUST_19820917,HOUST_19821019,HOUST_19821117,HOUST_19821216,HOUST_19830118,HOUST_19830216,HOUST_19830316,HOUST_19830418,HOUST_19830517,HOUST_19830616,HOUST_19830719,HOUST_19830816,HOUST_19830919,HOUST_19831019,HOUST_19831117,HOUST_19831220,HOUST_19840118,HOUST_19840216,HOUST_19840316,HOUST_19840417,HOUST_19840516,HOUST_19840619,HOUST_19840718,HOUST_19840816,HOUST_19840919,HOUST_19841017,HOUST_19841120,HOUST_19841218,HOUST_19850117,HOUST_19850219,HOUST_19850319,HOUST_19850416,HOUST_19850516,HOUST_19850618,HOUST_19850717,HOUST_19850816,HOUST_19850918,HOUST_19851017,HOUST_19851119,HOUST_19851217,HOUST_19860117,HOUST_19860219,HOUST_19860318,HOUST_19860416,HOUST_19860516,HOUST_19860617,HOUST_19860717,HOUST_19860820,HOUST_19860917,HOUST_19861017,HOUST_19861119,HOUST_19861216,HOUST_19870121,HOUST_19870218,HOUST_19870317,HOUST_19870416,HOUST_19870519,HOUST_19870616,HOUST_19870717,HOUST_19870818,HOUST_19870917,HOUST_19871020,HOUST_19871118,HOUST_19871216,HOUST_19880120,HOUST_19880217,HOUST_19880316,HOUST_19880419,HOUST_19880518,HOUST_19880617,HOUST_19880719,HOUST_19880817,HOUST_19880921,HOUST_19881019,HOUST_19881117,HOUST_19881216,HOUST_19890119,HOUST_19890216,HOUST_19890316,HOUST_19890418,HOUST_19890516,HOUST_19890616,HOUST_19890719,HOUST_19890816,HOUST_19890919,HOUST_19891018,HOUST_19891117,HOUST_19891219,HOUST_19900118,HOUST_19900215,HOUST_19900316,HOUST_19900417,HOUST_19900516,HOUST_19900619,HOUST_19900718,HOUST_19900816,HOUST_19900919,HOUST_19901017,HOUST_19901120,HOUST_19901219,HOUST_19910117,HOUST_19910220,HOUST_19910319,HOUST_19910416,HOUST_19910516,HOUST_19910618,HOUST_19910717,HOUST_19910815,HOUST_19910918,HOUST_19911018,HOUST_19911120,HOUST_19911217,HOUST_19920122,HOUST_19920219,HOUST_19920316,HOUST_19920417,HOUST_19920519,HOUST_19920616,HOUST_19920716,HOUST_19920818,HOUST_19920922,HOUST_19921020,HOUST_19921119,HOUST_19921216,HOUST_19930122,HOUST_19930217,HOUST_19930316,HOUST_19930420,HOUST_19930518,HOUST_19930616,HOUST_19930720,HOUST_19930817,HOUST_19930921,HOUST_19931019,HOUST_19931117,HOUST_19931217,HOUST_19940120,HOUST_19940216,HOUST_19940316,HOUST_19940420,HOUST_19940517,HOUST_19940616,HOUST_19940720,HOUST_19940816,HOUST_19940921,HOUST_19941020,HOUST_19941117,HOUST_19941216,HOUST_19950120,HOUST_19950216,HOUST_19950316,HOUST_19950418,HOUST_19950516,HOUST_19950620,HOUST_19950719,HOUST_19950816,HOUST_19950919,HOUST_19951019,HOUST_19951128,HOUST_19960116,HOUST_19960223,HOUST_19960317,HOUST_19960417,HOUST_19960516,HOUST_19960618,HOUST_19960717,HOUST_19960816,HOUST_19960919,HOUST_19961017,HOUST_19961119,HOUST_19961217,HOUST_19970122,HOUST_19970220,HOUST_19970318,HOUST_19970416,HOUST_19970516,HOUST_19970617,HOUST_19970717,HOUST_19970819,HOUST_19970917,HOUST_19971017,HOUST_19971119,HOUST_19971216,HOUST_19980122,HOUST_19980218,HOUST_19980317,HOUST_19980416,HOUST_19980519,HOUST_19980616,HOUST_19980721,HOUST_19980819,HOUST_19980918,HOUST_19981021,HOUST_19981119,HOUST_19981216,HOUST_19990120,HOUST_19990217,HOUST_19990316,HOUST_19990416,HOUST_19990518,HOUST_19990616,HOUST_19990721,HOUST_19990817,HOUST_19990917,HOUST_19991019,HOUST_19991117,HOUST_19991217,HOUST_20000119,HOUST_20000216,HOUST_20000316,HOUST_20000418,HOUST_20000516,HOUST_20000616,HOUST_20000720,HOUST_20000816,HOUST_20000919,HOUST_20001018,HOUST_20001117,HOUST_20001220,HOUST_20010118,HOUST_20010216,HOUST_20010316,HOUST_20010417,HOUST_20010516,HOUST_20010619,HOUST_20010718,HOUST_20010816,HOUST_20010920,HOUST_20011017,HOUST_20011119,HOUST_20011218,HOUST_20020117,HOUST_20020219,HOUST_20020320,HOUST_20020416,HOUST_20020516,HOUST_20020618,HOUST_20020717,HOUST_20020816,HOUST_20020919,HOUST_20021017,HOUST_20021120,HOUST_20021217,HOUST_20030121,HOUST_20030219,HOUST_20030318,HOUST_20030416,HOUST_20030516,HOUST_20030617,HOUST_20030717,HOUST_20030819,HOUST_20030917,HOUST_20031017,HOUST_20031119,HOUST_20031216,HOUST_20040121,HOUST_20040218,HOUST_20040316,HOUST_20040416,HOUST_20040518,HOUST_20040616,HOUST_20040720,HOUST_20040817,HOUST_20040921,HOUST_20041019,HOUST_20041117,HOUST_20041216,HOUST_20050119,HOUST_20050216,HOUST_20050316,HOUST_20050419,HOUST_20050517,HOUST_20050616,HOUST_20050719,HOUST_20050816,HOUST_20050920,HOUST_20051019,HOUST_20051117,HOUST_20051220,HOUST_20060119,HOUST_20060216,HOUST_20060316,HOUST_20060418,HOUST_20060516,HOUST_20060620,HOUST_20060719,HOUST_20060816,HOUST_20060919,HOUST_20061018,HOUST_20061117,HOUST_20061219,HOUST_20070118,HOUST_20070216,HOUST_20070320,HOUST_20070417,HOUST_20070516,HOUST_20070619,HOUST_20070718,HOUST_20070816,HOUST_20070919,HOUST_20071017,HOUST_20071120,HOUST_20071218,HOUST_20080117,HOUST_20080220,HOUST_20080318,HOUST_20080416,HOUST_20080516,HOUST_20080617,HOUST_20080717,HOUST_20080819,HOUST_20080917,HOUST_20081017,HOUST_20081119,HOUST_20081216,HOUST_20090122,HOUST_20090218,HOUST_20090317,HOUST_20090416,HOUST_20090519,HOUST_20090616,HOUST_20090717,HOUST_20090818,HOUST_20090917,HOUST_20091020,HOUST_20091118,HOUST_20091216,HOUST_20100120,HOUST_20100217,HOUST_20100316,HOUST_20100416,HOUST_20100518,HOUST_20100616,HOUST_20100720,HOUST_20100817,HOUST_20100921,HOUST_20101019,HOUST_20101117,HOUST_20101216,HOUST_20110119,HOUST_20110216,HOUST_20110316,HOUST_20110419,HOUST_20110517,HOUST_20110616,HOUST_20110719,HOUST_20110816,HOUST_20110920,HOUST_20111019,HOUST_20111117,HOUST_20111220,HOUST_20120119,HOUST_20120216,HOUST_20120320,HOUST_20120417,HOUST_20120516,HOUST_20120619,HOUST_20120718,HOUST_20120816,HOUST_20120919,HOUST_20121017,HOUST_20121120,HOUST_20121219,HOUST_20130117,HOUST_20130220,HOUST_20130319,HOUST_20130416,HOUST_20130516,HOUST_20130618,HOUST_20130717,HOUST_20130816,HOUST_20130918,HOUST_20131126,HOUST_20131218,HOUST_20140117,HOUST_20140219,HOUST_20140318,HOUST_20140416,HOUST_20140516,HOUST_20140617,HOUST_20140717,HOUST_20140819,HOUST_20140918,HOUST_20141017,HOUST_20141119,HOUST_20141216,HOUST_20150121,HOUST_20150218,HOUST_20150317,HOUST_20150416,HOUST_20150519,HOUST_20150616,HOUST_20150717,HOUST_20150818,HOUST_20150917,HOUST_20151020,HOUST_20151118,HOUST_20151216,HOUST_20160120,HOUST_20160217,HOUST_20160316,HOUST_20160419,HOUST_20160517,HOUST_20160617,HOUST_20160719,HOUST_20160816,HOUST_20160920,HOUST_20161019,HOUST_20161117,HOUST_20161216,HOUST_20170119,HOUST_20170216,HOUST_20170316,HOUST_20170418,HOUST_20170516,HOUST_20170616,HOUST_20170719,HOUST_20170816,HOUST_20170919,HOUST_20171018,HOUST_20171117,HOUST_20171219,HOUST_20180118,HOUST_20180216,HOUST_20180316,HOUST_20180417,HOUST_20180516,HOUST_20180619,HOUST_20180718,HOUST_20180816,HOUST_20180919,HOUST_20181017,HOUST_20181120,HOUST_20181218,HOUST_20190226,HOUST_20190308,HOUST_20190326,HOUST_20190419,HOUST_20190516,HOUST_20190618,HOUST_20190717,HOUST_20190816,HOUST_20190918,HOUST_20191017,HOUST_20191119,HOUST_20191217,HOUST_20200117,HOUST_20200219,HOUST_20200318,HOUST_20200416,HOUST_20200519,HOUST_20200617,HOUST_20200717,HOUST_20200818,HOUST_20200917,HOUST_20201020,HOUST_20201118,HOUST_20201217,HOUST_20210121,HOUST_20210218,HOUST_20210317,HOUST_20210416,HOUST_20210518,HOUST_20210616,HOUST_20210720,HOUST_20210818,HOUST_20210921,HOUST_20211019,HOUST_20211117,HOUST_20211216,HOUST_20220119,HOUST_20220217,HOUST_20220317,HOUST_20220419,HOUST_20220518,HOUST_20220616,HOUST_20220719,HOUST_20220816,HOUST_20220920,HOUST_20221019,HOUST_20221117,HOUST_20221220,HOUST_20230119,HOUST_20230216,HOUST_20230316,HOUST_20230418,HOUST_20230517,HOUST_20230620,HOUST_20230719,HOUST_20230816,HOUST_20230919,HOUST_20231018,HOUST_20231117,HOUST_20231219,HOUST_20240118,HOUST_20240216,HOUST_20240319,HOUST_20240416,HOUST_20240516,HOUST_20240620,HOUST_20240717,HOUST_20240816,HOUST_20240918,HOUST_20241018,HOUST_20241119,HOUST_20241218,HOUST_20250117,HOUST_20250219,HOUST_20250318,HOUST_20250417,HOUST_20250516,HOUST_20250618,HOUST_20250718,HOUST_20250819,HOUST_20250917,HOUST_20260109,HOUST_20260218,HOUST_20260312
1959-01-01,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657
1959-02-01,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667
