model_id,checkpoint_id,revision_target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,DELTA_SA,0.6781421206748107,0.6781421206748107,0.0
ar,pre_second,DELTA_TS,0.4079162001920096,0.4079162001920096,0.0
ar,pre_third,DELTA_MT,3.8893401754701458,3.8893401754701458,0.0
bridge,pre_advance,DELTA_SA,0.7182954588874345,0.7221269467369036,-0.003831487849469
bridge,pre_second,DELTA_TS,0.4916791866250372,0.4923442142946105,-0.0006650276695733
bridge,pre_third,DELTA_MT,2.1290652600630544,2.1299563533049155,-0.000891093241861
indicator_revision_only_dfm_kalman_em,pre_advance,DELTA_SA,0.5696627235545563,0.5696627235545563,0.0
indicator_revision_only_dfm_kalman_em,pre_second,DELTA_TS,0.3613823734957444,0.3613823734957444,0.0
indicator_revision_only_dfm_kalman_em,pre_third,DELTA_MT,1.0016142136324435,1.0016142136324435,0.0
joint_indicator_revision_dfm_full_kalman_em,pre_advance,DELTA_SA,0.6424227853346578,0.6435519895894873,-0.0011292042548295
joint_indicator_revision_dfm_full_kalman_em,pre_second,DELTA_TS,0.3621166815971902,0.3620427303667747,7.395123041548102e-05
joint_indicator_revision_dfm_full_kalman_em,pre_third,DELTA_MT,1.004485174263573,1.0044840897586391,1.0845049336349888e-06
midas_umidas,pre_advance,DELTA_SA,13.866667467379608,13.497152970832795,0.3695144965468095
midas_umidas,pre_second,DELTA_TS,3.124113019494642,3.1241983182834105,-8.529878876917252e-05
midas_umidas,pre_third,DELTA_MT,8.189349081226077,8.185354586560583,0.003994494665493
monthly_mixed_frequency_kalman_em,pre_advance,DELTA_SA,0.5718545673079508,0.5715551258080861,0.0002994414998647
monthly_mixed_frequency_kalman_em,pre_second,DELTA_TS,0.3780926495003732,0.3775392661016555,0.0005533833987176
monthly_mixed_frequency_kalman_em,pre_third,DELTA_MT,1.0265968773214025,1.026412938597554,0.0001839387238484
no_revision,pre_advance,DELTA_SA,0.5696627235545563,0.5696627235545563,0.0
no_revision,pre_second,DELTA_TS,0.3613823734957444,0.3613823734957444,0.0
no_revision,pre_third,DELTA_MT,1.0016142136324435,1.0016142136324435,0.0
release_dfm,pre_advance,DELTA_SA,0.6416466896223114,0.6405783165541686,0.0010683730681427
release_dfm,pre_second,DELTA_TS,0.3637919631069554,0.3638289418724508,-3.6978765495410126e-05
release_dfm,pre_third,DELTA_MT,1.1538502570072733,1.1535986114275298,0.0002516455797434
revision_dfm_kalman_em,pre_advance,DELTA_SA,0.6473857119977422,0.646698281714718,0.0006874302830242
revision_dfm_kalman_em,pre_second,DELTA_TS,0.3613388294922605,0.3613356130062197,3.2164860407912776e-06
revision_dfm_kalman_em,pre_third,DELTA_MT,1.003598672838071,1.0036031459466677,-4.473108596636521e-06
spf,pre_advance,DELTA_SA,0.5696627235545563,0.5696627235545563,0.0
spf,pre_second,DELTA_TS,0.3613823734957444,0.3613823734957444,0.0
spf,pre_third,DELTA_MT,1.0016142136324435,1.0016142136324435,0.0
standard_dfm,pre_advance,DELTA_SA,0.6416466896223114,0.6405783165541686,0.0010683730681427
standard_dfm,pre_second,DELTA_TS,0.3671373475049814,0.3671091037446861,2.824376029525455e-05
standard_dfm,pre_third,DELTA_MT,1.1152914893484265,1.1144400093532312,0.000851479995195
