model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
release_dfm,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,7.007425291976666,,,not_available,-1.4142,8.421625291976666,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,3,0.02
revision_dfm_kalman_em,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,5.749661936533167,2.6688246291050923,1.6336537665934885,model_implied_state_space,-1.4142,7.163861936533167,False,True,27,-1796.6635334692926,-3330.8663396184324,-1796.6635334692926,0.15734199302778507,8.75181700108603e-05,27.0,0,{},14,expanding,40,1965:Q3,,3,0.02
standard_dfm,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,7.007425291976666,,,not_available,-1.4142,8.421625291976666,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,3,0.02
ar,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,2.8477678735606102,,,not_available,-1.5101,4.35786787356061,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,3,0.02
bridge,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,5.242373606153068,,,not_available,-1.5101,6.7524736061530675,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,3,0.02
indicator_revision_only_dfm_kalman_em,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-0.5292388932350787,0.3695874505104399,0.6079370448578042,model_implied_state_space,-1.5101,0.9808611067649213,False,True,47,-3360.203295050518,-5381.830290239384,-3360.203295050518,0.27985111100497306,8.325227253468011e-05,47.0,0,{},14,expanding,40,1965:Q3,,3,0.02
joint_indicator_revision_dfm_full_kalman_em,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-1.0929728165405201,0.3595322426392285,0.5996100754984263,model_implied_state_space,-1.5101,0.41712718345947986,False,True,47,-3331.8349314694237,-5391.404850743411,-3331.8349314694237,0.29670595166453495,8.901717181926315e-05,47.0,0,{},14,expanding,40,1965:Q3,,3,0.02
midas_umidas,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-2.0627838654587087,,,not_available,-1.5101,-0.5526838654587087,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,3,0.02
monthly_mixed_frequency_kalman_em,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-0.8525822491329285,0.3627429036452901,0.6022814156565767,model_implied_state_space,-1.5101,0.6575177508670715,False,True,30,-6002.810123287169,-8069.8821851924995,-6002.810123287169,0.5860690577828791,9.760666002187911e-05,30.0,0,{},14,expanding,40,1965:Q3,,3,0.02
no_revision,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-1.4142,,,not_available,-1.5101,0.0959000000000001,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,3,0.02
release_dfm,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-1.4208731240480543,,,not_available,-1.5101,0.08922687595194567,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,3,0.02
