model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count,initialization_seed,source_dir
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,12,0.5785632400630882,0.501739964123204,-0.1828488643045474,0.1471058222837636,0.2848979767004619,0.5,1.0,28.416666666666668,9.410643926920017e-05,9.384653832010424e-05,9.999501178685108e-05,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,exact,pre_third,DELTA_MT,12,0.5869673912010218,0.4937166666666668,-0.2176333333333333,0.1492426665872626,0.2852918527964827,0.0,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,exact,pre_third,DELTA_MT,12,0.5717071089460181,0.4089228909659857,0.1953814718235556,0.1453625784413931,0.2854539022805759,0.75,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,12,0.5874065003018691,0.4949489804727118,-0.2163324205794852,0.1493543147198771,0.2853019939093428,0.5833333333333334,1.0,27.25,9.49665408156504e-05,9.433806559320352e-05,9.913612028647048e-05,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,exact,pre_third,DELTA_MT,12,0.8763988277786433,0.6787905465327362,-0.0587876799569759,0.2228336701703442,0.3011245260710658,0.5,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,pseudo,pre_advance,DELTA_SA,12,0.2677032186437722,0.2310021451991581,0.0573980020927568,1.0,1.0,0.5833333333333334,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,pseudo,pre_advance,DELTA_SA,12,0.3268941685998097,0.2832070708516317,0.0698243763889971,1.2211066055010784,0.1212077297214261,0.5833333333333334,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,12,0.2421589698249203,0.2081999999999999,-0.02885,0.9045799712522576,0.2698071321429216,0.0,0.6666666666666666,43.75,0.0002010781069953,9.2976131651132e-05,0.0005319765689303,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,12,0.4034224417329829,0.3226149630674312,0.058336335568447,1.5069764337417615,0.1027381369501785,0.5833333333333334,0.5833333333333334,45.25,0.0001511762459271,9.742301446044752e-05,0.000381809209707,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,pseudo,pre_advance,DELTA_SA,12,1.0310813767240443,0.7019709380532945,0.4537466281703131,3.85158378725392,0.0639341948363995,0.5833333333333334,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,12,0.2387452345121499,0.1930353522425768,0.0813786081091929,0.8918280315106852,0.0350792999332243,0.5833333333333334,1.0,28.583333333333332,9.438332366821336e-05,9.464055731008136e-05,9.994961427105884e-05,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,pseudo,pre_advance,DELTA_SA,12,0.2421589698249203,0.2081999999999999,-0.02885,0.9045799712522576,0.2698071321429216,0.0,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,pseudo,pre_advance,DELTA_SA,12,0.2499958206649264,0.2076195428472318,0.0665108609041345,0.933854370266617,0.0339128467671872,0.5833333333333334,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,12,0.2183817600466487,0.1602908802664706,0.1070282460719269,0.8157606813732237,0.0690559764578211,0.6666666666666666,1.0,27.5,9.603728655897815e-05,9.57421932164726e-05,9.969356604020843e-05,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,pseudo,pre_advance,DELTA_SA,12,0.2499958206649264,0.2076195428472318,0.0665108609041345,0.933854370266617,0.0339128467671872,0.5833333333333334,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,pseudo,pre_second,DELTA_TS,12,0.251959656467342,0.1848646173354902,-0.0376689511299719,1.0,1.0,0.6666666666666666,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,pseudo,pre_second,DELTA_TS,12,0.3619401883326655,0.2762217995411756,0.0483676830537495,1.4365005628572871,0.0871615726826451,0.5,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,12,0.2681974785489229,0.1863916666666666,-0.1095583333333333,1.064446119308333,0.380038266158234,0.0,0.5,45.166666666666664,0.0002528808549386,0.0001297668592514,0.0006562213298782,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,12,0.270788457706541,0.1876865975934077,-0.1075248818303099,1.0747294289220446,0.3431486088973802,0.6666666666666666,0.5833333333333334,46.0,0.0001624130039132,9.731452836258271e-05,0.0004606150307707,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,pseudo,pre_second,DELTA_TS,12,0.5772594121427352,0.4437511658083622,0.0148546705600844,2.291078739494778,0.0207803164407266,0.5,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,12,0.2587148110256348,0.1959550441987003,-0.0473439319777653,1.02681046105954,0.3753808571896914,0.6666666666666666,1.0,28.583333333333332,9.372632370715984e-05,9.333545536690683e-05,9.827650753848644e-05,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,pseudo,pre_second,DELTA_TS,12,0.2681974785489229,0.1863916666666666,-0.1095583333333333,1.064446119308333,0.380038266158234,0.0,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,pseudo,pre_second,DELTA_TS,12,0.2534855697240448,0.1780194749991728,-0.0623764767407242,1.0060561808906126,0.7806122941207081,0.6666666666666666,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
