model_id,checkpoint_id,target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,A,7.136876466075766,7.136876466075766,0.0
ar,pre_second,S,6.942115480721942,6.942115480721942,0.0
ar,pre_third,T,6.853900266254954,6.853900266254954,0.0
bridge,pre_advance,A,4.873697083215683,4.853299396730428,0.0203976864852553
bridge,pre_second,S,4.54265384858136,4.542167880186523,0.0004859683948374
bridge,pre_third,T,4.401929763157702,4.398694165093339,0.0032355980643634
indicator_revision_only_dfm_kalman_em,pre_advance,A,4.453767579975633,4.492631992185045,-0.0388644122094117
indicator_revision_only_dfm_kalman_em,pre_second,S,0.594107327194403,0.5937726197893166,0.0003347074050863
indicator_revision_only_dfm_kalman_em,pre_third,T,0.3710981970416506,0.3709976879203673,0.0001005091212832
joint_indicator_revision_dfm_full_kalman_em,pre_advance,A,4.612374919226848,4.685839660834342,-0.0734647416074931
joint_indicator_revision_dfm_full_kalman_em,pre_second,S,0.6419939444284923,0.6406473654296413,0.001346578998851
joint_indicator_revision_dfm_full_kalman_em,pre_third,T,0.3738426554717644,0.373924547904313,-8.189243254863587e-05
midas_umidas,pre_advance,A,13.366462459511451,13.553973435987375,-0.1875109764759255
midas_umidas,pre_second,S,4.770330173182115,4.7627716394170765,0.0075585337650387
midas_umidas,pre_third,T,6.190490508808118,6.186914482958172,0.0035760258499459
monthly_mixed_frequency_kalman_em,pre_advance,A,3.769974495515115,3.8025831889047166,-0.0326086933896014
monthly_mixed_frequency_kalman_em,pre_second,S,0.6979436071904094,0.6304564547982026,0.0674871523922068
monthly_mixed_frequency_kalman_em,pre_third,T,0.3753603443790759,0.3721930983578229,0.003167246021253
no_revision,pre_advance,A,7.26944298718703,7.26944298718703,0.0
no_revision,pre_second,S,0.5696627235545563,0.5696627235545563,0.0
no_revision,pre_third,T,0.3621867125530698,0.3621867125530698,0.0
release_dfm,pre_advance,A,3.1101832707747743,3.088406299146455,0.0217769716283191
release_dfm,pre_second,S,0.6928852006794348,0.6926399404529601,0.0002452602264747
release_dfm,pre_third,T,0.4641035261633806,0.4638461740655606,0.0002573520978199
revision_dfm_kalman_em,pre_advance,A,3.794507389294578,3.808670762835241,-0.0141633735406623
revision_dfm_kalman_em,pre_second,S,0.6171724895248861,0.6161800798230558,0.0009924097018303
revision_dfm_kalman_em,pre_third,T,0.3721381188740127,0.3722989154461518,-0.0001607965721391
spf,pre_advance,A,2.2249600782092696,2.2249600782092696,0.0
spf,pre_second,S,2.3374416593545337,2.3374416593545337,0.0
spf,pre_third,T,2.380187605841187,2.380187605841187,0.0
standard_dfm,pre_advance,A,3.1101832707747743,3.088406299146455,0.0217769716283191
standard_dfm,pre_second,S,2.9084851897204858,2.895843614358702,0.0126415753617838
standard_dfm,pre_third,T,2.906679657707941,2.9038245020466817,0.0028551556612592
