model_id,timing_mode,checkpoint_id,outcome_id,revision_size_bin,n_obs,RMSE,MAE,bias
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,abs_gt_0p5,20,1.0382029315119465,0.9402799999999998,-0.06386999999999984
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,abs_le_0p1,28,0.04821638355224437,0.04025357142857142,0.0042107142857143115
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,abs_0p1_0p2,13,0.15456810298874235,0.15106153846153847,0.00855384615384612
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,abs_0p2_0p5,31,0.32074044023166154,0.31281612903225803,-0.15223548387096775
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,abs_gt_0p5,7,0.9821544255942066,0.8589571428571429,0.02712857142857144
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,abs_le_0p1,3,0.07083213983547525,0.06872500590152897,-0.018553733976357702
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,abs_0p1_0p2,4,0.15040136377828905,0.1467864028855499,-0.1467864028855499
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,abs_0p2_0p5,17,0.35865450330052934,0.3478595236402282,-0.01684428750611942
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,abs_gt_0p5,50,1.7026101356602281,1.4653233137689232,0.5936960771385739
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,abs_le_0p1,18,0.05790484531635591,0.04414444444444435,-0.016966666666666748
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.14607059556559937,0.14218888888888892,-0.006455555555555548
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.3458252936816507,0.33426874999999995,-0.1111625
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,abs_gt_0p5,20,1.0382029315119465,0.9402799999999998,-0.06386999999999984
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,abs_le_0p1,28,0.04821638355224437,0.04025357142857142,0.0042107142857143115
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,abs_0p1_0p2,13,0.15456810298874235,0.15106153846153847,0.00855384615384612
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,abs_0p2_0p5,31,0.32074044023166154,0.31281612903225803,-0.15223548387096775
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,abs_gt_0p5,7,0.9821544255942066,0.8589571428571429,0.02712857142857144
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,abs_le_0p1,3,0.07083213983547525,0.06872500590152897,-0.018553733976357702
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,abs_0p1_0p2,4,0.15040136377828905,0.1467864028855499,-0.1467864028855499
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,abs_0p2_0p5,17,0.35865450330052934,0.3478595236402282,-0.01684428750611942
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,abs_gt_0p5,50,1.7026101356602281,1.4653233137689232,0.5936960771385739
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,abs_le_0p1,18,0.4028379830218954,0.3093937009240173,0.2021071505328461
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.23859816559381994,0.1967507945698196,0.1967507945698196
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.3626994875245069,0.2995888145396748,0.02896772899223611
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,abs_gt_0p5,20,1.0742573677300853,0.9596840511156426,-0.0422754158122282
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,abs_le_0p1,28,0.050187317985951475,0.041625294672327694,0.006196723934517757
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,abs_0p1_0p2,13,0.15771708498703838,0.1537031272721425,0.012815378108145302
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,abs_0p2_0p5,31,0.3191893498486523,0.310977940476647,-0.14723761149376816
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,abs_gt_0p5,7,0.9851445568912937,0.8648862201022787,0.031346714331219494
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,abs_le_0p1,3,0.06694761885909076,0.06475709983146603,-0.014962429776357164
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,abs_0p1_0p2,4,0.14748696557263383,0.1438126809122761,-0.1438126809122761
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,abs_0p2_0p5,17,0.3612468481360629,0.3498322646210727,-0.017998194178975274
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,abs_gt_0p5,50,1.7068270230157407,1.4698750408376453,0.5961319158410701
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,abs_le_0p1,18,0.40374556765804115,0.3099584485043554,0.20304602889640455
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.23849151626822235,0.1967133421795562,0.1942665497556346
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.36760823664818915,0.3018654164248056,0.03232501079855929
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,abs_gt_0p5,20,1.0742977691108309,0.9597175964728327,-0.04233392866052146
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,abs_le_0p1,28,0.050187290398375696,0.04163111088838654,0.0062085928747351495
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,abs_0p1_0p2,13,0.15772203794469652,0.1537088157252577,0.012814842813355855
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,abs_0p2_0p5,31,0.31916768152579017,0.31095040783161865,-0.14715377599275392
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,abs_gt_0p5,7,0.9847952833113357,0.8643330542081902,0.030854289565224735
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,abs_le_0p1,3,0.06692116297129291,0.06473338038985009,-0.014986149217973097
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,abs_0p1_0p2,4,0.14747547369945907,0.14379796337995782,-0.14379796337995782
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,abs_0p2_0p5,17,0.36105175777184645,0.3496746521431476,-0.017822610577891362
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,abs_gt_0p5,50,1.706834565000132,1.4698808400812045,0.5961274525491972
midas_umidas,exact,pre_advance,DELTA_SA,abs_le_0p1,18,15.460463479816715,5.5832720109439435,-4.36784432857996
midas_umidas,exact,pre_advance,DELTA_SA,abs_0p1_0p2,9,5.47074218649875,4.117256420221077,1.7590423205095116
midas_umidas,exact,pre_advance,DELTA_SA,abs_0p2_0p5,32,11.167760576058507,6.671553193155436,0.5021497478014988
midas_umidas,exact,pre_advance,DELTA_SA,abs_gt_0p5,20,18.203901896973665,13.775626211330868,6.222269200034389
midas_umidas,exact,pre_second,DELTA_TS,abs_le_0p1,28,1.3300762245120943,0.8630724516826609,-0.036962792023651436
midas_umidas,exact,pre_second,DELTA_TS,abs_0p1_0p2,13,0.6963543132013224,0.5031311184993439,-0.021035628193551998
midas_umidas,exact,pre_second,DELTA_TS,abs_0p2_0p5,31,4.7042876060172585,1.9028967138277157,-0.0778241059087008
midas_umidas,exact,pre_second,DELTA_TS,abs_gt_0p5,7,2.0412815860740157,1.2640300104223106,0.5518489815212927
midas_umidas,exact,pre_third,DELTA_MT,abs_le_0p1,3,4.760007863087202,3.9646287846999138,3.9646287846999138
midas_umidas,exact,pre_third,DELTA_MT,abs_0p1_0p2,4,15.191735017964234,10.14721716199027,-8.021016193578216
midas_umidas,exact,pre_third,DELTA_MT,abs_0p2_0p5,17,7.459389312296156,4.866735292218844,2.0290785207199575
midas_umidas,exact,pre_third,DELTA_MT,abs_gt_0p5,50,18.067989346357685,8.406713980608215,4.667476298540251
midas_umidas,pseudo,pre_advance,DELTA_SA,abs_le_0p1,18,15.578650058710812,5.713537008749032,-4.515839540142915
midas_umidas,pseudo,pre_advance,DELTA_SA,abs_0p1_0p2,9,5.1279693940779145,3.745461608462633,2.168889286793521
midas_umidas,pseudo,pre_advance,DELTA_SA,abs_0p2_0p5,32,9.811329311142224,6.108982633855559,0.9646913469618305
midas_umidas,pseudo,pre_advance,DELTA_SA,abs_gt_0p5,20,18.311369920327927,13.774815793416343,6.226536459278055
midas_umidas,pseudo,pre_second,DELTA_TS,abs_le_0p1,28,1.3334100811142942,0.8710087211733316,-0.03366813510739723
midas_umidas,pseudo,pre_second,DELTA_TS,abs_0p1_0p2,13,0.6943917387782768,0.504468310731823,-0.037349601881486304
midas_umidas,pseudo,pre_second,DELTA_TS,abs_0p2_0p5,31,4.706829494120603,1.9167293140200565,-0.08547999941269484
midas_umidas,pseudo,pre_second,DELTA_TS,abs_gt_0p5,7,2.0090931843434237,1.2226788951788095,0.4978433804773961
midas_umidas,pseudo,pre_third,DELTA_MT,abs_le_0p1,3,6.6743701709927,6.118060396134155,6.118060396134155
midas_umidas,pseudo,pre_third,DELTA_MT,abs_0p1_0p2,4,15.210429494080309,10.096058631245638,-8.059307895229221
midas_umidas,pseudo,pre_third,DELTA_MT,abs_0p2_0p5,17,7.415557067311672,4.909983711762662,2.04574209240987
midas_umidas,pseudo,pre_third,DELTA_MT,abs_gt_0p5,50,18.07267076793039,8.413202828007414,4.637540591865621
