model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count,initialization_seed,source_dir
standard_dfm,exact,pre_second,S,12,3.092752758762728,1.8027055035476929,0.7445227225211343,1.7121389483558285,0.2253824237925545,0.8333333333333334,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,exact,pre_third,T,12,1.7787008830053102,1.2297530640953738,0.4850208055197349,1.0,1.0,0.8333333333333334,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,exact,pre_third,T,12,2.445114201294465,1.7479392740145376,-0.1986574845853214,1.3746629490413118,0.0668458080856422,0.75,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,12,0.2711317659662994,0.1936606146855171,-0.1073488867514555,0.1524324683013551,0.0747941566633633,1.0,0.5833333333333334,41.833333333333336,0.0002227262921267,9.387371319077431e-05,0.0007131245783815,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,12,0.2761839094891817,0.1951705002487983,-0.1045518195779796,0.1552728241875827,0.0751449207914342,1.0,0.6666666666666666,42.916666666666664,0.000146175286763,9.723998083024325e-05,0.0004630183439142,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,exact,pre_third,T,12,1.0164641102995218,0.8501675648173764,-0.4166727964651591,0.5714643310808359,0.1813806342977702,1.0,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,exact,pre_third,T,12,0.2664730985696655,0.1932786379054055,-0.0592985220530102,0.1498133278707491,0.0740840050472764,1.0,1.0,28.416666666666668,9.410643926920017e-05,9.384653832010424e-05,9.999501178685108e-05,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,exact,pre_third,T,12,0.2681974785489229,0.1863916666666666,-0.1095583333333333,0.1507827882200035,0.0746674458540707,1.0,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,exact,pre_third,T,12,0.2622054083586539,0.1806978182329605,-0.0338796606811601,0.1474139979711648,0.0740998242527457,1.0,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,exact,pre_third,T,12,0.2690742184460535,0.1860792390229079,-0.1015782673166827,0.1512756984701234,0.0747506453927575,1.0,1.0,27.25,9.49665408156504e-05,9.433806559320352e-05,9.913612028647048e-05,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
