model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,A,80,0,0.0,0.0,,,,,7.181818733775091,7.136876466075766,,,,,0.0
ar,exact,pre_second,S,79,0,0.0,0.0,,,,,6.986343495667327,6.942115480721942,,,,,0.0
ar,exact,pre_third,T,80,0,0.0,0.0,,,,,6.896802153026556,6.853900266254954,,,,,0.0
ar,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,7.181818733775091,7.136876466075766,,,,,0.0
ar,pseudo,pre_second,S,79,0,0.0,0.0,,,,,6.986343495667327,6.942115480721942,,,,,0.0
ar,pseudo,pre_third,T,80,0,0.0,0.0,,,,,6.896802153026556,6.853900266254954,,,,,0.0
bridge,exact,pre_advance,A,80,0,0.0,0.0,,,,,4.903670888072781,4.873697083215684,,,,,0.0
bridge,exact,pre_second,S,79,0,0.0,0.0,,,,,4.571323844861157,4.54265384858136,,,,,0.0
bridge,exact,pre_third,T,80,0,0.0,0.0,,,,,4.429520821390447,4.401929763157702,,,,,0.0
bridge,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,4.883513325058257,4.853299396730428,,,,,0.0
bridge,pseudo,pre_second,S,79,0,0.0,0.0,,,,,4.570841796783709,4.542167880186523,,,,,0.0
bridge,pseudo,pre_third,T,80,0,0.0,0.0,,,,,4.426287779520506,4.398694165093339,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,2.680337686711301,3.428444767221297,4.843671161126546,1.8468748403673179,4.1553015886759646,4.136723566860889,0.4464583650603466,0.4444622853369836,0.575,0.7875,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.3539595677455461,0.3951157376660644,0.4107985349714885,0.6237567148379275,0.6015228990632454,0.5979600796066222,1.0431410659525566,1.0369625425886644,0.7215189873417721,0.8860759493670886,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.1313195374083803,0.14358925090501956,0.4939105440912317,0.38301455755284697,0.3689134751807602,0.3697870814143022,1.0357705198568712,1.0382232781417853,0.875,0.9375,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,2.653278095643991,3.427674952484414,4.843671161126546,1.8466915155297674,4.320910958972559,4.302847033577626,0.4291789833844792,0.42738476517203683,0.5875,0.7875,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,79,1.0,1.0,0.3539588602915691,0.3951157376660644,0.4108464800978438,0.6238779555580712,0.6011975561409358,0.5976291474942136,1.0439215660312349,1.0377253686171315,0.7215189873417721,0.8860759493670886,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,80,1.0,1.0,0.1313194414201846,0.14357749819800644,0.4938873154671515,0.38300621977487337,0.36882179994205927,0.36970052374311496,1.0359904711441628,1.038458734909494,0.875,0.9375,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,1.7812816828374145,2.5211704316314303,3.9692118832803343,1.605212372125179,4.288725693655115,4.267847129023608,0.3761175889382001,0.3742865566105065,0.625,0.75,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.2986092640617867,0.3562973480533484,0.3824626623304541,0.5945313468995655,0.6660542994699891,0.6622923059327115,0.8976872320180171,0.8926169343440351,0.6835443037974683,0.8481012658227848,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.126237586674065,0.1393923679202012,0.4660392244534777,0.3760221825593833,0.37254206743551166,0.37247848968023967,1.0095138188575286,1.0093415359715694,0.825,0.9375,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,1.7916104427781223,2.52115437179362,3.9692118832803343,1.605306239514756,4.3792857396730085,4.358241375602768,0.36833807519271083,0.3665680512627661,0.6125,0.7625,1.0
